pair_name,ablation_key,n_cells,n_total_matched_images,mean_score_gap,mean_flagged_gap,score_cost_z,flagged_cost_z,composite_cost_z,rank_score_gap,rank_flagged_gap,rank_composite,ranking_objective
cover_vs_stego,baseline/2,6,90.0,0.2227777777777778,0.26666666666666666,-1.892007977973775,-2.038455750189379,-3.9304637281631543,1.0,1.0,1.0,stealth_minimize_gap
cover_vs_stego,baseline/1,6,90.0,0.24638888888888885,0.3138888888888889,-1.0913360385040776,-0.5502579939161525,-1.64159403242023,2.0,2.0,2.0,stealth_minimize_gap
cover_vs_stego,baseline/6,6,90.0,0.2811111111111111,0.33055555555555555,0.08612269601018699,-0.02501172699619034,0.06111096901399665,3.0,3.0,3.0,stealth_minimize_gap
cover_vs_stego,baseline/5,6,90.0,0.29194444444444445,0.33611111111111114,0.4534898211786383,0.15007036197713153,0.6035601831557698,4.0,4.0,4.0,stealth_minimize_gap
cover_vs_stego,baseline/3,6,90.0,0.2991666666666667,0.34444444444444444,0.6984012379576058,0.41269349543711176,1.1110947333947174,5.0,5.0,5.0,stealth_minimize_gap
cover_vs_stego,baseline/0,6,90.0,0.3058333333333333,0.3527777777777778,0.9244733149843422,0.6753166288970937,1.5997899438814358,7.0,6.0,6.0,stealth_minimize_gap
cover_vs_stego,baseline/4,6,90.0,0.3027777777777777,0.375,0.8208569463470858,1.375644984790376,2.196501931137462,6.0,7.0,7.0,stealth_minimize_gap
pre_secret_vs_secret,baseline/6,6,90.0,1.2255555555555557,0.06944444444444445,-0.9121857024850136,-1.7334381132038397,-2.6456238156888534,2.0,1.0,1.0,stealth_minimize_gap
pre_secret_vs_secret,baseline/2,6,90.0,1.1858333333333333,0.08055555555555553,-1.6328628044483207,0.2080125735844605,-1.4248502308638602,1.0,4.0,2.0,stealth_minimize_gap
pre_secret_vs_secret,baseline/3,6,90.0,1.2372222222222222,0.07777777777777775,-0.7005183019083823,-0.2773500981126164,-0.9778684000209987,3.0,3.0,3.0,stealth_minimize_gap
pre_secret_vs_secret,baseline/4,6,90.0,1.3488888888888888,0.07499999999999998,1.325441103610832,-0.7627127698096908,0.5627283338011412,7.0,2.0,4.0,stealth_minimize_gap
pre_secret_vs_secret,baseline/0,6,90.0,1.3044444444444443,0.08055555555555553,0.519089101414128,0.2080125735844605,0.7271016749985885,4.0,4.0,5.0,stealth_minimize_gap
pre_secret_vs_secret,baseline/5,6,90.0,1.3166666666666667,0.0833333333333333,0.7408359020182238,0.6933752452815349,1.4342111472997587,6.0,5.0,6.0,stealth_minimize_gap
pre_secret_vs_secret,baseline/1,6,90.0,1.3122222222222222,0.08888888888888886,0.660200701798553,1.6641005886756888,2.3243012904742417,5.0,6.0,7.0,stealth_minimize_gap
