run_data_dir,method,pair_name,cover_score,cover_flagged_ratio,stego_score,stego_flagged_ratio,n_images_role_a,n_images_role_b,n_matched_images,score_gap,score_gap_median,score_gap_std,score_gap_sem,score_gap_ci95,score_gap_sign_consistency,flagged_gap,flagged_gap_median,flagged_gap_std,flagged_gap_sem,flagged_gap_ci95,score_gap_conf_weighted,score_gap_conf_weighted_ci95,pre_secret_score,pre_secret_flagged_ratio,secret_score,secret_flagged_ratio,source_csv,experiment,ablation_id,ablation_key
data/baseline/1,dct,cover_vs_stego,0.045,0.05,0.2366666666666666,0.25,15,15,15,0.1916666666666666,0.225,0.1741475838258485,0.0449647127959847,0.0881308370801301,0.9333333333333332,0.2,0.25,0.1690308509457033,0.0436435780471984,0.085541412972509,0.0985555555555555,0.0463059887868822,,,,,C:\Users\antho\Documents\School\Courses\Winter2026\CS9874_DeptAISys\FinalProj\DeepSteganographyAuditProj\data\baseline\aletheia_batch_pair_comparison.csv,baseline,1,baseline/1
data/baseline/1,dct,pre_secret_vs_secret,,,,,15,15,15,1.3633333333333333,1.325,1.0113139731957392,0.2611201450649301,0.5117954843272631,1.0,0.1166666666666666,0.0,0.1290994448735805,0.0333333333333333,0.0653333333333333,0.6836666666666666,0.2558241000722523,0.0383333333333333,0.1166666666666666,1.4016666666666666,0.2333333333333333,C:\Users\antho\Documents\School\Courses\Winter2026\CS9874_DeptAISys\FinalProj\DeepSteganographyAuditProj\data\baseline\aletheia_batch_pair_comparison.csv,baseline,1,baseline/1
data/baseline/1,dwt,cover_vs_stego,0.045,0.05,0.35,0.4166666666666667,15,15,15,0.305,0.375,0.2138507490217017,0.0552160259690021,0.1082234108992442,0.9333333333333332,0.3666666666666666,0.5,0.2288688541085317,0.0590936840285278,0.1158236206959146,0.1551111111111111,0.0549995033759845,,,,,C:\Users\antho\Documents\School\Courses\Winter2026\CS9874_DeptAISys\FinalProj\DeepSteganographyAuditProj\data\baseline\aletheia_batch_pair_comparison.csv,baseline,1,baseline/1
data/baseline/1,dwt,pre_secret_vs_secret,,,,,15,15,15,0.1816666666666666,0.15,0.1174379268663521,0.0303223423311004,0.0594317909689568,1.0,0.1666666666666666,0.25,0.1543033499620919,0.0398409536444797,0.0780882691431803,0.0915555555555555,0.0299348762491075,0.0383333333333333,0.1166666666666666,0.22,0.2833333333333333,C:\Users\antho\Documents\School\Courses\Winter2026\CS9874_DeptAISys\FinalProj\DeepSteganographyAuditProj\data\baseline\aletheia_batch_pair_comparison.csv,baseline,1,baseline/1
data/baseline/1,lsb,cover_vs_stego,0.045,0.05,0.3083333333333333,0.3833333333333333,15,15,15,0.2633333333333333,0.25,0.174198846423385,0.0449779487417542,0.0881567795338383,0.9333333333333332,0.3333333333333333,0.25,0.2041241452319315,0.0527046276694729,0.103301070232167,0.1355277777777778,0.0458818745109871,,,,,C:\Users\antho\Documents\School\Courses\Winter2026\CS9874_DeptAISys\FinalProj\DeepSteganographyAuditProj\data\baseline\aletheia_batch_pair_comparison.csv,baseline,1,baseline/1
data/baseline/1,lsb,pre_secret_vs_secret,,,,,15,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0383333333333333,0.1166666666666666,0.0383333333333333,0.1166666666666666,C:\Users\antho\Documents\School\Courses\Winter2026\CS9874_DeptAISys\FinalProj\DeepSteganographyAuditProj\data\baseline\aletheia_batch_pair_comparison.csv,baseline,1,baseline/1
data/baseline/1,original,cover_vs_stego,0.045,0.05,0.3083333333333333,0.4166666666666667,15,15,15,0.2633333333333333,0.2,0.174198846423385,0.0449779487417542,0.0881567795338383,0.9333333333333332,0.3666666666666666,0.25,0.208452346958198,0.0538221645497967,0.1054914425176016,0.1358055555555555,0.0462526395776633,,,,,C:\Users\antho\Documents\School\Courses\Winter2026\CS9874_DeptAISys\FinalProj\DeepSteganographyAuditProj\data\baseline\aletheia_batch_pair_comparison.csv,baseline,1,baseline/1
data/baseline/1,original,pre_secret_vs_secret,,,,,15,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0383333333333333,0.1166666666666666,0.0383333333333333,0.1166666666666666,C:\Users\antho\Documents\School\Courses\Winter2026\CS9874_DeptAISys\FinalProj\DeepSteganographyAuditProj\data\baseline\aletheia_batch_pair_comparison.csv,baseline,1,baseline/1
data/baseline/1,spread_spectrum,cover_vs_stego,0.045,0.05,0.1699999999999999,0.2333333333333333,15,15,15,0.1249999999999999,0.125,0.1349603116263655,0.0348466026218584,0.0682993411388426,0.9333333333333332,0.1833333333333333,0.25,0.1759328876372492,0.0454256762579497,0.0890343254655815,0.0626666666666666,0.0341679681052948,,,,,C:\Users\antho\Documents\School\Courses\Winter2026\CS9874_DeptAISys\FinalProj\DeepSteganographyAuditProj\data\baseline\aletheia_batch_pair_comparison.csv,baseline,1,baseline/1
data/baseline/1,spread_spectrum,pre_secret_vs_secret,,,,,15,15,15,6.248333333333333,6.1000000000000005,0.9885716006055452,0.2552480897119257,0.5002862558353744,1.0,0.1333333333333333,0.25,0.1290994448735805,0.0333333333333333,0.0653333333333333,3.1241666666666665,0.2501431279176872,0.0383333333333333,0.1166666666666666,6.286666666666666,0.25,C:\Users\antho\Documents\School\Courses\Winter2026\CS9874_DeptAISys\FinalProj\DeepSteganographyAuditProj\data\baseline\aletheia_batch_pair_comparison.csv,baseline,1,baseline/1
data/baseline/1,statistical,cover_vs_stego,0.045,0.05,0.375,0.4833333333333333,15,15,15,0.33,0.425,0.2125945167953034,0.0548916682028815,0.1075876696776478,0.9333333333333332,0.4333333333333333,0.5,0.2749458821208968,0.0709907215041694,0.139141814148172,0.1680833333333333,0.0546078320593504,,,,,C:\Users\antho\Documents\School\Courses\Winter2026\CS9874_DeptAISys\FinalProj\DeepSteganographyAuditProj\data\baseline\aletheia_batch_pair_comparison.csv,baseline,1,baseline/1
data/baseline/1,statistical,pre_secret_vs_secret,,,,,15,15,15,0.0799999999999999,0.075,0.070836834647358,0.018289992059151,0.0358483844359361,0.9285714285714286,0.1166666666666666,0.0,0.1290994448735805,0.0333333333333333,0.0653333333333333,0.0401666666666666,0.0179623883795083,0.0383333333333333,0.1166666666666666,0.1183333333333333,0.2333333333333333,C:\Users\antho\Documents\School\Courses\Winter2026\CS9874_DeptAISys\FinalProj\DeepSteganographyAuditProj\data\baseline\aletheia_batch_pair_comparison.csv,baseline,1,baseline/1
data/baseline/2,dct,cover_vs_stego,0.045,0.05,0.2633333333333333,0.3333333333333333,15,15,15,0.2183333333333333,0.2249999999999999,0.1919046142029444,0.0495495583245575,0.0971171343161328,0.9333333333333332,0.2833333333333333,0.25,0.2288688541085317,0.0590936840285278,0.1158236206959146,0.1109722222222222,0.0493824488364684,,,,,C:\Users\antho\Documents\School\Courses\Winter2026\CS9874_DeptAISys\FinalProj\DeepSteganographyAuditProj\data\baseline\aletheia_batch_pair_comparison.csv,baseline,2,baseline/2
data/baseline/2,dct,pre_secret_vs_secret,,,,,15,15,15,1.2049999999999998,1.3,0.9531994994303582,0.2461150524604682,0.4823855028225177,1.0,0.1333333333333333,0.25,0.1290994448735805,0.0333333333333333,0.0653333333333333,0.6088333333333333,0.2438750737266626,0.0366666666666666,0.1166666666666666,1.2416666666666667,0.25,C:\Users\antho\Documents\School\Courses\Winter2026\CS9874_DeptAISys\FinalProj\DeepSteganographyAuditProj\data\baseline\aletheia_batch_pair_comparison.csv,baseline,2,baseline/2
data/baseline/2,dwt,cover_vs_stego,0.045,0.05,0.3316666666666667,0.35,15,15,15,0.2866666666666667,0.35,0.1809860557638416,0.0467303986579417,0.0915915813695657,0.9333333333333332,0.3,0.25,0.1690308509457033,0.0436435780471984,0.085541412972509,0.1457222222222222,0.0469601740379974,,,,,C:\Users\antho\Documents\School\Courses\Winter2026\CS9874_DeptAISys\FinalProj\DeepSteganographyAuditProj\data\baseline\aletheia_batch_pair_comparison.csv,baseline,2,baseline/2
data/baseline/2,dwt,pre_secret_vs_secret,,,,,15,15,15,0.1466666666666666,0.125,0.1245945806357946,0.0321701823886753,0.0630535574818036,1.0,0.1,0.0,0.1267731382092775,0.0327326835353988,0.0641560597293817,0.0737222222222222,0.0318781537486058,0.0366666666666666,0.1166666666666666,0.1833333333333333,0.2166666666666666,C:\Users\antho\Documents\School\Courses\Winter2026\CS9874_DeptAISys\FinalProj\DeepSteganographyAuditProj\data\baseline\aletheia_batch_pair_comparison.csv,baseline,2,baseline/2
data/baseline/2,lsb,cover_vs_stego,0.045,0.05,0.295,0.3333333333333333,15,15,15,0.25,0.275,0.2267786838055363,0.0585540043769119,0.1147658485787475,0.8666666666666667,0.2833333333333333,0.25,0.3114864515894865,0.0804254559716882,0.157633893704509,0.12925,0.0583570071961275,,,,,C:\Users\antho\Documents\School\Courses\Winter2026\CS9874_DeptAISys\FinalProj\DeepSteganographyAuditProj\data\baseline\aletheia_batch_pair_comparison.csv,baseline,2,baseline/2
data/baseline/2,lsb,pre_secret_vs_secret,,,,,15,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0366666666666666,0.1166666666666666,0.0366666666666666,0.1166666666666666,C:\Users\antho\Documents\School\Courses\Winter2026\CS9874_DeptAISys\FinalProj\DeepSteganographyAuditProj\data\baseline\aletheia_batch_pair_comparison.csv,baseline,2,baseline/2
data/baseline/2,original,cover_vs_stego,0.045,0.05,0.2983333333333334,0.35,15,15,15,0.2533333333333333,0.3,0.2269492286414571,0.0585980388641988,0.1148521561738297,0.8666666666666667,0.3,0.25,0.3162277660168379,0.0816496580927726,0.1600333298618343,0.1298333333333333,0.0578541879466211,,,,,C:\Users\antho\Documents\School\Courses\Winter2026\CS9874_DeptAISys\FinalProj\DeepSteganographyAuditProj\data\baseline\aletheia_batch_pair_comparison.csv,baseline,2,baseline/2
data/baseline/2,original,pre_secret_vs_secret,,,,,15,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0383333333333333,0.1166666666666666,0.0383333333333333,0.1166666666666666,C:\Users\antho\Documents\School\Courses\Winter2026\CS9874_DeptAISys\FinalProj\DeepSteganographyAuditProj\data\baseline\aletheia_batch_pair_comparison.csv,baseline,2,baseline/2
data/baseline/2,spread_spectrum,cover_vs_stego,0.045,0.05,0.12,0.1833333333333333,15,15,15,0.075,0.075,0.1569804355416851,0.0405321741688888,0.0794430613710222,0.8461538461538461,0.1333333333333333,0.25,0.1858058382393016,0.0479748611419282,0.0940307278381794,0.0385555555555555,0.0403684432278726,,,,,C:\Users\antho\Documents\School\Courses\Winter2026\CS9874_DeptAISys\FinalProj\DeepSteganographyAuditProj\data\baseline\aletheia_batch_pair_comparison.csv,baseline,2,baseline/2
data/baseline/2,spread_spectrum,pre_secret_vs_secret,,,,,15,15,15,5.698333333333333,5.8500000000000005,1.8248891029581051,0.4711843402954756,0.9235213069791322,1.0,0.1333333333333333,0.25,0.1290994448735805,0.0333333333333333,0.0653333333333333,2.888416666666666,0.467650556121492,0.0366666666666666,0.1166666666666666,5.735000000000001,0.25,C:\Users\antho\Documents\School\Courses\Winter2026\CS9874_DeptAISys\FinalProj\DeepSteganographyAuditProj\data\baseline\aletheia_batch_pair_comparison.csv,baseline,2,baseline/2
