run_data_dir,method,pair_name,cover_score,cover_flagged_ratio,stego_score,stego_flagged_ratio,n_images_role_a,n_images_role_b,n_matched_images,score_gap,score_gap_median,score_gap_std,score_gap_sem,score_gap_ci95,score_gap_sign_consistency,flagged_gap,flagged_gap_median,flagged_gap_std,flagged_gap_sem,flagged_gap_ci95,score_gap_conf_weighted,score_gap_conf_weighted_ci95,pre_secret_score,pre_secret_flagged_ratio,secret_score,secret_flagged_ratio
data/baseline/0,dct,cover_vs_stego,0.045000000000000005,0.05,0.285,0.3333333333333333,15,15,15,0.23999999999999996,0.25,0.16738535522218526,0.04321871287830241,0.08470867724147273,0.9333333333333333,0.2833333333333333,0.25,0.20845234695819798,0.053822164549796735,0.10549144251760159,0.12169444444444445,0.04294044757884581,,,,
data/baseline/0,dct,pre_secret_vs_secret,,,,,15,15,15,1.245,1.15,0.9972372550487385,0.2574855520680908,0.504671682053458,1.0,0.11666666666666667,0.0,0.12909944487358055,0.033333333333333326,0.06533333333333331,0.6279722222222223,0.2555213011076632,0.03666666666666667,0.11666666666666667,1.2816666666666667,0.23333333333333334
data/baseline/0,dwt,cover_vs_stego,0.045000000000000005,0.05,0.39,0.5,15,15,15,0.345,0.4,0.19067549097129097,0.04923220007078217,0.09649511213873305,0.9333333333333333,0.45,0.5,0.23528098702858008,0.060749289629395596,0.11906860767361536,0.17686111111111108,0.0497661407404425,,,,
data/baseline/0,dwt,pre_secret_vs_secret,,,,,15,15,15,0.14666666666666667,0.125,0.09442810316143528,0.024381231397212984,0.047787213538537446,1.0,0.13333333333333333,0.25,0.12909944487358055,0.033333333333333326,0.06533333333333331,0.07372222222222222,0.023930060928660058,0.03666666666666667,0.11666666666666667,0.18333333333333332,0.25
data/baseline/0,lsb,cover_vs_stego,0.045000000000000005,0.05,0.405,0.45,15,15,15,0.35999999999999993,0.42500000000000004,0.2125105039420741,0.05486997617745324,0.10754515330780835,0.9333333333333333,0.4,0.5,0.280305955290694,0.07237468644557458,0.14185438543332618,0.18366666666666662,0.055263612970186074,,,,
data/baseline/0,lsb,pre_secret_vs_secret,,,,,15,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03666666666666667,0.11666666666666667,0.03666666666666667,0.11666666666666667
data/baseline/0,original,cover_vs_stego,0.045000000000000005,0.05,0.4033333333333334,0.45,15,15,15,0.35833333333333334,0.45,0.2116404183200049,0.05464532103585001,0.10710482923026601,0.9333333333333333,0.4,0.5,0.280305955290694,0.07237468644557458,0.14185438543332618,0.17975,0.0538130662571833,,,,
data/baseline/0,original,pre_secret_vs_secret,,,,,15,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03833333333333334,0.11666666666666667,0.03833333333333334,0.11666666666666667
data/baseline/0,spread_spectrum,cover_vs_stego,0.045000000000000005,0.05,0.22166666666666668,0.23333333333333334,15,15,15,0.1766666666666667,0.19999999999999998,0.17613577014283477,0.04547806029564111,0.08913699817945657,0.9333333333333333,0.18333333333333332,0.25,0.19970215917949508,0.05156287578025647,0.10106323652930269,0.09000000000000001,0.04506173543040703,,,,
data/baseline/0,spread_spectrum,pre_secret_vs_secret,,,,,15,15,15,6.376666666666666,6.2250000000000005,0.9427574803026847,0.2434189347149843,0.47710111204136924,1.0,0.13333333333333333,0.25,0.12909944487358055,0.033333333333333326,0.06533333333333331,3.200916666666666,0.23460089090007977,0.03666666666666667,0.11666666666666667,6.413333333333332,0.25
