ablation_idx,BETA,ALPHA,LEARNING_RATE,START_NOISE_EP,RS_BYTES,holdout_psnr_cover,holdout_ssim_secret,holdout_text_acc,holdout_ber_text,composite_rank_score
6,3.0,3.0,0.001,20,8,30.219521982510884,0.9145671520961656,0.5876,0.4124,1.75
2,3.0,3.0,0.001,10,16,29.391460038397046,0.8924504060612785,0.6154666666666667,0.3465488437345248,2.5
5,3.0,3.0,0.001,15,8,29.95443507109748,0.9098740591340595,0.5688,0.4312,2.75
3,3.0,3.0,0.001,10,32,29.36893685690562,0.9070507189929485,0.5453333333333333,0.45466666666666666,4.0
1,3.0,3.0,0.001,999,8,30.37849628745185,0.8269218514992132,0.20173333333333332,0.7982666666666667,4.75
4,3.0,3.0,0.001,5,8,28.2485559252633,0.8458458827899562,0.40413333333333334,0.5958666666666667,5.25
0,3.0,3.0,0.001,10,8,22.909174457973904,0.7316350989407964,0.18133333333333335,0.8186666666666667,7.0
