method,pair_name,role_a,role_b,image_name,cover_mean_score,stego_mean_score,cover_max_score,stego_max_score,cover_flagged_ratio,stego_flagged_ratio,cover_mean_conf,stego_mean_conf,score_delta,max_score_delta,flagged_ratio_delta,confidence_delta,pair_mean_conf,score_delta_conf_weighted,pre_secret_mean_score,secret_mean_score,pre_secret_max_score,secret_max_score,pre_secret_flagged_ratio,secret_flagged_ratio,pre_secret_mean_conf,secret_mean_conf
dct,pre_secret_vs_secret,pre_secret,secret,01199.png,,,,,,,,,0.42500000000000004,1.6,0.25,0.0,0.5,0.21250000000000002,0.0,0.42500000000000004,0.0,1.6,0.0,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,01299.png,,,,,,,,,1.65,6.5,0.0,0.0,0.5,0.825,0.05,1.7,0.2,6.7,0.25,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,01399.png,,,,,,,,,0.075,0.2,0.0,0.0,0.5,0.0375,0.05,0.125,0.2,0.4,0.25,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,01499.png,,,,,,,,,1.575,6.2,0.0,0.0,0.5,0.7875,0.05,1.625,0.2,6.4,0.25,0.25,0.5,0.5
dwt,cover_vs_stego,cover,stego,00099.png,0.0,0.525,0.0,1.0,0.0,0.75,0.5,0.5,0.525,1.0,0.75,0.0,0.5,0.2625,,,,,,,,
dwt,cover_vs_stego,cover,stego,00199.png,0.1,0.525,0.4,1.0,0.25,0.75,0.5,0.5,0.42500000000000004,0.6,0.5,0.0,0.5,0.21250000000000002,,,,,,,,
dwt,cover_vs_stego,cover,stego,00299.png,0.0,0.55,0.0,1.0,0.0,0.75,0.5,0.5,0.55,1.0,0.75,0.0,0.5,0.275,,,,,,,,
dwt,cover_vs_stego,cover,stego,00399.png,0.0,0.2,0.0,0.8,0.0,0.25,0.5,0.5,0.2,0.8,0.25,0.0,0.5,0.1,,,,,,,,
dwt,cover_vs_stego,cover,stego,00499.png,0.0,0.3,0.0,1.0,0.0,0.25,0.5,0.5,0.3,1.0,0.25,0.0,0.5,0.15,,,,,,,,
dwt,cover_vs_stego,cover,stego,00599.png,0.0,0.4,0.0,1.0,0.0,0.5,0.6,0.5666666666666667,0.4,1.0,0.5,-0.033333333333333326,0.5833333333333333,0.2333333333333333,,,,,,,,
