method,pair_name,role,image_dir,requested_dev,used_cpu,return_code,elapsed_sec,n_images_parsed,mean_image_score,max_image_score,mean_flagged_ratio,mean_confidence,error_summary,stdout_log,stderr_log
dct,cover_vs_stego,cover,data/baseline/0/results_raw/dct/cover,0,False,0,765.1810743808746,15,0.045000000000000005,1.6,0.05,0.5044444444444445,,data/baseline/0/aletheia_outputs/logs/dct_cover_vs_stego_cover_stdout.txt,data/baseline/0/aletheia_outputs/logs/dct_cover_vs_stego_cover_stderr.txt
dct,cover_vs_stego,stego,data/baseline/0/results_raw/dct/stego,0,False,0,756.9450073242188,15,0.285,1.0,0.3333333333333333,0.5066666666666666,,data/baseline/0/aletheia_outputs/logs/dct_cover_vs_stego_stego_stdout.txt,data/baseline/0/aletheia_outputs/logs/dct_cover_vs_stego_stego_stderr.txt
dct,pre_secret_vs_secret,pre_secret,data/baseline/0/results_raw/dct/pre_secret,0,False,0,828.1699254512787,15,0.03666666666666667,0.4,0.11666666666666667,0.5066666666666666,,data/baseline/0/aletheia_outputs/logs/dct_pre_secret_vs_secret_pre_secret_stdout.txt,data/baseline/0/aletheia_outputs/logs/dct_pre_secret_vs_secret_pre_secret_stderr.txt
dct,pre_secret_vs_secret,secret,data/baseline/0/results_raw/dct/secret,0,False,0,778.0932016372681,15,1.2816666666666667,12.3,0.23333333333333334,0.5,,data/baseline/0/aletheia_outputs/logs/dct_pre_secret_vs_secret_secret_stdout.txt,data/baseline/0/aletheia_outputs/logs/dct_pre_secret_vs_secret_secret_stderr.txt
dwt,cover_vs_stego,cover,data/baseline/0/results_raw/dwt/cover,0,False,0,792.8172228336334,15,0.045000000000000005,1.6,0.05,0.5111111111111111,,data/baseline/0/aletheia_outputs/logs/dwt_cover_vs_stego_cover_stdout.txt,data/baseline/0/aletheia_outputs/logs/dwt_cover_vs_stego_cover_stderr.txt
dwt,cover_vs_stego,stego,data/baseline/0/results_raw/dwt/stego,0,False,0,839.1487572193146,15,0.39,1.0,0.5,0.5088888888888888,,data/baseline/0/aletheia_outputs/logs/dwt_cover_vs_stego_stego_stdout.txt,data/baseline/0/aletheia_outputs/logs/dwt_cover_vs_stego_stego_stderr.txt
dwt,pre_secret_vs_secret,pre_secret,data/baseline/0/results_raw/dwt/pre_secret,0,False,0,841.6973373889923,15,0.03666666666666667,0.4,0.11666666666666667,0.5066666666666666,,data/baseline/0/aletheia_outputs/logs/dwt_pre_secret_vs_secret_pre_secret_stdout.txt,data/baseline/0/aletheia_outputs/logs/dwt_pre_secret_vs_secret_pre_secret_stderr.txt
dwt,pre_secret_vs_secret,secret,data/baseline/0/results_raw/dwt/secret,0,False,0,840.2853720188141,15,0.18333333333333332,1.7,0.25,0.5,,data/baseline/0/aletheia_outputs/logs/dwt_pre_secret_vs_secret_secret_stdout.txt,data/baseline/0/aletheia_outputs/logs/dwt_pre_secret_vs_secret_secret_stderr.txt
lsb,cover_vs_stego,cover,data/baseline/0/results_raw/lsb/cover,0,False,0,841.0510234832764,15,0.045000000000000005,1.6,0.05,0.5133333333333333,,data/baseline/0/aletheia_outputs/logs/lsb_cover_vs_stego_cover_stdout.txt,data/baseline/0/aletheia_outputs/logs/lsb_cover_vs_stego_cover_stderr.txt
lsb,cover_vs_stego,stego,data/baseline/0/results_raw/lsb/stego,0,False,0,861.5070178508759,15,0.405,1.0,0.45,0.5022222222222222,,data/baseline/0/aletheia_outputs/logs/lsb_cover_vs_stego_stego_stdout.txt,data/baseline/0/aletheia_outputs/logs/lsb_cover_vs_stego_stego_stderr.txt
lsb,pre_secret_vs_secret,pre_secret,data/baseline/0/results_raw/lsb/pre_secret,0,False,0,773.4688720703125,15,0.03666666666666667,0.4,0.11666666666666667,0.5066666666666666,,data/baseline/0/aletheia_outputs/logs/lsb_pre_secret_vs_secret_pre_secret_stdout.txt,data/baseline/0/aletheia_outputs/logs/lsb_pre_secret_vs_secret_pre_secret_stderr.txt
lsb,pre_secret_vs_secret,secret,data/baseline/0/results_raw/lsb/secret,0,False,0,804.8318405151367,15,0.03666666666666667,0.4,0.11666666666666667,0.5022222222222222,,data/baseline/0/aletheia_outputs/logs/lsb_pre_secret_vs_secret_secret_stdout.txt,data/baseline/0/aletheia_outputs/logs/lsb_pre_secret_vs_secret_secret_stderr.txt
original,cover_vs_stego,cover,data/baseline/0/results_raw/original/cover,0,False,0,841.1389286518097,15,0.045000000000000005,1.6,0.05,0.5022222222222222,,data/baseline/0/aletheia_outputs/logs/original_cover_vs_stego_cover_stdout.txt,data/baseline/0/aletheia_outputs/logs/original_cover_vs_stego_cover_stderr.txt
original,cover_vs_stego,stego,data/baseline/0/results_raw/original/stego,0,False,0,839.0203142166138,15,0.4033333333333334,1.0,0.45,0.5,,data/baseline/0/aletheia_outputs/logs/original_cover_vs_stego_stego_stdout.txt,data/baseline/0/aletheia_outputs/logs/original_cover_vs_stego_stego_stderr.txt
original,pre_secret_vs_secret,pre_secret,data/baseline/0/results_raw/original/pre_secret,0,False,0,837.1006886959076,15,0.03833333333333334,0.5,0.11666666666666667,0.5022222222222222,,data/baseline/0/aletheia_outputs/logs/original_pre_secret_vs_secret_pre_secret_stdout.txt,data/baseline/0/aletheia_outputs/logs/original_pre_secret_vs_secret_pre_secret_stderr.txt
original,pre_secret_vs_secret,secret,data/baseline/0/results_raw/original/secret,0,False,0,857.642519235611,15,0.03833333333333334,0.5,0.11666666666666667,0.5088888888888888,,data/baseline/0/aletheia_outputs/logs/original_pre_secret_vs_secret_secret_stdout.txt,data/baseline/0/aletheia_outputs/logs/original_pre_secret_vs_secret_secret_stderr.txt
spread_spectrum,cover_vs_stego,cover,data/baseline/0/results_raw/spread_spectrum/cover,0,False,0,839.5419981479645,15,0.045000000000000005,1.6,0.05,0.5111111111111112,,data/baseline/0/aletheia_outputs/logs/spread_spectrum_cover_vs_stego_cover_stdout.txt,data/baseline/0/aletheia_outputs/logs/spread_spectrum_cover_vs_stego_cover_stderr.txt
spread_spectrum,cover_vs_stego,stego,data/baseline/0/results_raw/spread_spectrum/stego,0,False,0,821.6245958805084,15,0.22166666666666668,1.3,0.23333333333333334,0.5044444444444445,,data/baseline/0/aletheia_outputs/logs/spread_spectrum_cover_vs_stego_stego_stdout.txt,data/baseline/0/aletheia_outputs/logs/spread_spectrum_cover_vs_stego_stego_stderr.txt
spread_spectrum,pre_secret_vs_secret,pre_secret,data/baseline/0/results_raw/spread_spectrum/pre_secret,0,False,0,838.8386676311493,15,0.03666666666666667,0.4,0.11666666666666667,0.5044444444444445,,data/baseline/0/aletheia_outputs/logs/spread_spectrum_pre_secret_vs_secret_pre_secret_stdout.txt,data/baseline/0/aletheia_outputs/logs/spread_spectrum_pre_secret_vs_secret_pre_secret_stderr.txt
spread_spectrum,pre_secret_vs_secret,secret,data/baseline/0/results_raw/spread_spectrum/secret,0,False,0,835.607346534729,15,6.413333333333332,32.2,0.25,0.5,,data/baseline/0/aletheia_outputs/logs/spread_spectrum_pre_secret_vs_secret_secret_stdout.txt,data/baseline/0/aletheia_outputs/logs/spread_spectrum_pre_secret_vs_secret_secret_stderr.txt
statistical,cover_vs_stego,cover,data/baseline/0/results_raw/statistical/cover,0,False,0,825.4769217967987,15,0.045000000000000005,1.6,0.05,0.5066666666666666,,data/baseline/0/aletheia_outputs/logs/statistical_cover_vs_stego_cover_stdout.txt,data/baseline/0/aletheia_outputs/logs/statistical_cover_vs_stego_cover_stderr.txt
