method,pair_name,image_name,tool,role_a,role_b,role_a_path,role_b_path,return_code,elapsed_sec,stdout_log,stderr_log
dct,cover_vs_stego,00099.png,print-diffs,cover,stego,data/baseline/0/results_raw/dct/cover/00099.png,data/baseline/0/results_raw/dct/stego/00099.png,0,0.966172456741333,data/baseline/0/aletheia_outputs/logs/dct_cover_vs_stego_00099_print-diffs_stdout.txt,data/baseline/0/aletheia_outputs/logs/dct_cover_vs_stego_00099_print-diffs_stderr.txt
dct,cover_vs_stego,00199.png,print-diffs,cover,stego,data/baseline/0/results_raw/dct/cover/00199.png,data/baseline/0/results_raw/dct/stego/00199.png,0,0.9057104587554932,data/baseline/0/aletheia_outputs/logs/dct_cover_vs_stego_00199_print-diffs_stdout.txt,data/baseline/0/aletheia_outputs/logs/dct_cover_vs_stego_00199_print-diffs_stderr.txt
dct,cover_vs_stego,00299.png,print-diffs,cover,stego,data/baseline/0/results_raw/dct/cover/00299.png,data/baseline/0/results_raw/dct/stego/00299.png,0,0.9171633720397949,data/baseline/0/aletheia_outputs/logs/dct_cover_vs_stego_00299_print-diffs_stdout.txt,data/baseline/0/aletheia_outputs/logs/dct_cover_vs_stego_00299_print-diffs_stderr.txt
dct,cover_vs_stego,00399.png,print-diffs,cover,stego,data/baseline/0/results_raw/dct/cover/00399.png,data/baseline/0/results_raw/dct/stego/00399.png,0,0.9462530612945557,data/baseline/0/aletheia_outputs/logs/dct_cover_vs_stego_00399_print-diffs_stdout.txt,data/baseline/0/aletheia_outputs/logs/dct_cover_vs_stego_00399_print-diffs_stderr.txt
dct,cover_vs_stego,00499.png,print-diffs,cover,stego,data/baseline/0/results_raw/dct/cover/00499.png,data/baseline/0/results_raw/dct/stego/00499.png,0,0.9167492389678955,data/baseline/0/aletheia_outputs/logs/dct_cover_vs_stego_00499_print-diffs_stdout.txt,data/baseline/0/aletheia_outputs/logs/dct_cover_vs_stego_00499_print-diffs_stderr.txt
dct,cover_vs_stego,00599.png,print-diffs,cover,stego,data/baseline/0/results_raw/dct/cover/00599.png,data/baseline/0/results_raw/dct/stego/00599.png,0,0.9192736148834229,data/baseline/0/aletheia_outputs/logs/dct_cover_vs_stego_00599_print-diffs_stdout.txt,data/baseline/0/aletheia_outputs/logs/dct_cover_vs_stego_00599_print-diffs_stderr.txt
dct,cover_vs_stego,00699.png,print-diffs,cover,stego,data/baseline/0/results_raw/dct/cover/00699.png,data/baseline/0/results_raw/dct/stego/00699.png,0,0.9055848121643066,data/baseline/0/aletheia_outputs/logs/dct_cover_vs_stego_00699_print-diffs_stdout.txt,data/baseline/0/aletheia_outputs/logs/dct_cover_vs_stego_00699_print-diffs_stderr.txt
dct,cover_vs_stego,00799.png,print-diffs,cover,stego,data/baseline/0/results_raw/dct/cover/00799.png,data/baseline/0/results_raw/dct/stego/00799.png,0,0.9452996253967285,data/baseline/0/aletheia_outputs/logs/dct_cover_vs_stego_00799_print-diffs_stdout.txt,data/baseline/0/aletheia_outputs/logs/dct_cover_vs_stego_00799_print-diffs_stderr.txt
dct,cover_vs_stego,00899.png,print-diffs,cover,stego,data/baseline/0/results_raw/dct/cover/00899.png,data/baseline/0/results_raw/dct/stego/00899.png,0,0.8830687999725342,data/baseline/0/aletheia_outputs/logs/dct_cover_vs_stego_00899_print-diffs_stdout.txt,data/baseline/0/aletheia_outputs/logs/dct_cover_vs_stego_00899_print-diffs_stderr.txt
dct,cover_vs_stego,00999.png,print-diffs,cover,stego,data/baseline/0/results_raw/dct/cover/00999.png,data/baseline/0/results_raw/dct/stego/00999.png,0,0.9120762348175049,data/baseline/0/aletheia_outputs/logs/dct_cover_vs_stego_00999_print-diffs_stdout.txt,data/baseline/0/aletheia_outputs/logs/dct_cover_vs_stego_00999_print-diffs_stderr.txt
dct,cover_vs_stego,01099.png,print-diffs,cover,stego,data/baseline/0/results_raw/dct/cover/01099.png,data/baseline/0/results_raw/dct/stego/01099.png,0,0.9313139915466309,data/baseline/0/aletheia_outputs/logs/dct_cover_vs_stego_01099_print-diffs_stdout.txt,data/baseline/0/aletheia_outputs/logs/dct_cover_vs_stego_01099_print-diffs_stderr.txt
dct,cover_vs_stego,01199.png,print-diffs,cover,stego,data/baseline/0/results_raw/dct/cover/01199.png,data/baseline/0/results_raw/dct/stego/01199.png,0,0.9375472068786621,data/baseline/0/aletheia_outputs/logs/dct_cover_vs_stego_01199_print-diffs_stdout.txt,data/baseline/0/aletheia_outputs/logs/dct_cover_vs_stego_01199_print-diffs_stderr.txt
dct,cover_vs_stego,01299.png,print-diffs,cover,stego,data/baseline/0/results_raw/dct/cover/01299.png,data/baseline/0/results_raw/dct/stego/01299.png,0,0.9108550548553467,data/baseline/0/aletheia_outputs/logs/dct_cover_vs_stego_01299_print-diffs_stdout.txt,data/baseline/0/aletheia_outputs/logs/dct_cover_vs_stego_01299_print-diffs_stderr.txt
dct,cover_vs_stego,01399.png,print-diffs,cover,stego,data/baseline/0/results_raw/dct/cover/01399.png,data/baseline/0/results_raw/dct/stego/01399.png,0,0.9609131813049316,data/baseline/0/aletheia_outputs/logs/dct_cover_vs_stego_01399_print-diffs_stdout.txt,data/baseline/0/aletheia_outputs/logs/dct_cover_vs_stego_01399_print-diffs_stderr.txt
dct,cover_vs_stego,01499.png,print-diffs,cover,stego,data/baseline/0/results_raw/dct/cover/01499.png,data/baseline/0/results_raw/dct/stego/01499.png,0,0.9136857986450195,data/baseline/0/aletheia_outputs/logs/dct_cover_vs_stego_01499_print-diffs_stdout.txt,data/baseline/0/aletheia_outputs/logs/dct_cover_vs_stego_01499_print-diffs_stderr.txt
dct,pre_secret_vs_secret,00099.png,print-diffs,pre_secret,secret,data/baseline/0/results_raw/dct/pre_secret/00099.png,data/baseline/0/results_raw/dct/secret/00099.png,0,0.9468176364898682,data/baseline/0/aletheia_outputs/logs/dct_pre_secret_vs_secret_00099_print-diffs_stdout.txt,data/baseline/0/aletheia_outputs/logs/dct_pre_secret_vs_secret_00099_print-diffs_stderr.txt
dct,pre_secret_vs_secret,00199.png,print-diffs,pre_secret,secret,data/baseline/0/results_raw/dct/pre_secret/00199.png,data/baseline/0/results_raw/dct/secret/00199.png,0,0.9370508193969727,data/baseline/0/aletheia_outputs/logs/dct_pre_secret_vs_secret_00199_print-diffs_stdout.txt,data/baseline/0/aletheia_outputs/logs/dct_pre_secret_vs_secret_00199_print-diffs_stderr.txt
dct,pre_secret_vs_secret,00299.png,print-diffs,pre_secret,secret,data/baseline/0/results_raw/dct/pre_secret/00299.png,data/baseline/0/results_raw/dct/secret/00299.png,0,0.9430932998657227,data/baseline/0/aletheia_outputs/logs/dct_pre_secret_vs_secret_00299_print-diffs_stdout.txt,data/baseline/0/aletheia_outputs/logs/dct_pre_secret_vs_secret_00299_print-diffs_stderr.txt
