image_index,method,total_loss,psnr_c,ssim_c,psnr_s,ssim_s,ber_img,ber_text,text_acc
0,original,0.028348015621304512,29.065689086914062,0.9859433174133301,25.674814224243164,0.8056203722953796,0.3734334309895833,1.0,0.0
0,lsb,0.028728196397423744,29.0654354095459,0.9859433770179749,25.61444664001465,0.805429220199585,0.3738199869791667,1.0,0.0
0,dct,0.018591994419693947,28.884851455688477,0.9834499955177307,27.623363494873047,0.9499073624610901,0.3604227701822917,0.0,1.0
0,dwt,0.011701276525855064,28.904220581054688,0.9840011596679688,29.825794219970703,0.9666743278503418,0.340789794921875,0.0,1.0
0,spread_spectrum,0.2864699959754944,27.48769760131836,0.9669634699821472,15.518003463745117,0.7518258094787598,0.4431355794270833,0.0,1.0
0,statistical,0.010119170881807804,28.806360244750977,0.9826655387878418,30.55539321899414,0.9251541495323181,0.3329569498697917,0.0,1.0
1,original,0.0336451381444931,35.03541946411133,0.9871627688407898,24.778545379638672,0.9156131744384766,0.379302978515625,1.0,0.0
1,lsb,0.03385206311941147,35.03554916381836,0.987158477306366,24.751678466796875,0.9155210852622986,0.380035400390625,1.0,0.0
1,dct,0.018301011994481087,34.48689270019531,0.9823724627494812,27.464061737060547,0.9714943766593933,0.3507792154947917,0.0,1.0
1,dwt,0.015620683319866657,34.57756423950195,0.9837390780448914,28.16390037536621,0.9700911045074463,0.3456929524739583,0.0,1.0
1,spread_spectrum,0.24680742621421814,31.130359649658203,0.9504425525665283,16.143299102783203,0.789799690246582,0.43023681640625,0.0,1.0
1,statistical,0.013417334295809269,34.0489616394043,0.9793201088905334,28.855087280273438,0.9672565460205078,0.3426106770833333,0.0,1.0
2,original,0.02138815075159073,27.1287899017334,0.9760981202125549,27.114826202392578,0.9213743805885315,0.353271484375,1.0,0.0
2,lsb,0.021453186869621277,27.128948211669922,0.9760972857475281,27.100425720214844,0.9212228655815125,0.3536580403645833,1.0,0.0
