method,pair_name,role_a,role_b,image_name,cover_mean_score,stego_mean_score,cover_max_score,stego_max_score,cover_flagged_ratio,stego_flagged_ratio,cover_mean_conf,stego_mean_conf,score_delta,max_score_delta,flagged_ratio_delta,confidence_delta,pair_mean_conf,score_delta_conf_weighted,pre_secret_mean_score,secret_mean_score,pre_secret_max_score,secret_max_score,pre_secret_flagged_ratio,secret_flagged_ratio,pre_secret_mean_conf,secret_mean_conf
dct,cover_vs_stego,cover,stego,00099.png,0.0,0.4,0.0,1.0,0.0,0.5,0.5,0.5,0.4,1.0,0.5,0.0,0.5,0.2,,,,,,,,
dct,cover_vs_stego,cover,stego,00199.png,0.1,0.375,0.4,1.0,0.25,0.25,0.5,0.5,0.275,0.6,0.0,0.0,0.5,0.1375,,,,,,,,
dct,cover_vs_stego,cover,stego,00299.png,0.0,0.25,0.0,0.7,0.0,0.25,0.5,0.5,0.25,0.7,0.25,0.0,0.5,0.125,,,,,,,,
dct,cover_vs_stego,cover,stego,00399.png,0.0,0.15000000000000002,0.0,0.4,0.0,0.25,0.5,0.5,0.15000000000000002,0.4,0.25,0.0,0.5,0.07500000000000001,,,,,,,,
dct,cover_vs_stego,cover,stego,00499.png,0.0,0.375,0.0,1.0,0.0,0.5,0.5,0.5,0.375,1.0,0.5,0.0,0.5,0.1875,,,,,,,,
dct,cover_vs_stego,cover,stego,00599.png,0.0,0.425,0.0,1.0,0.0,0.5,0.5,0.5,0.425,1.0,0.5,0.0,0.5,0.2125,,,,,,,,
dct,cover_vs_stego,cover,stego,00699.png,0.0,0.475,0.0,1.0,0.0,0.5,0.5,0.5333333333333333,0.475,1.0,0.5,0.033333333333333326,0.5166666666666666,0.24541666666666662,,,,,,,,
dct,cover_vs_stego,cover,stego,00799.png,0.15000000000000002,0.5,0.2,1.0,0.25,0.5,0.5,0.5,0.35,0.8,0.25,0.0,0.5,0.175,,,,,,,,
dct,cover_vs_stego,cover,stego,00899.png,0.0,0.275,0.0,1.0,0.0,0.25,0.5,0.5666666666666667,0.275,1.0,0.25,0.06666666666666665,0.5333333333333333,0.14666666666666667,,,,,,,,
dct,cover_vs_stego,cover,stego,00999.png,0.0,0.55,0.0,1.0,0.0,0.75,0.5666666666666668,0.5333333333333333,0.55,1.0,0.75,-0.03333333333333344,0.55,0.30250000000000005,,,,,,,,
dct,cover_vs_stego,cover,stego,01099.png,0.025,0.325,0.1,1.0,0.0,0.25,0.5,0.5333333333333333,0.3,0.9,0.25,0.033333333333333326,0.5166666666666666,0.15499999999999997,,,,,,,,
dct,cover_vs_stego,cover,stego,01199.png,0.0,0.275,0.0,0.9,0.0,0.25,0.5,0.5,0.275,0.9,0.25,0.0,0.5,0.1375,,,,,,,,
dct,cover_vs_stego,cover,stego,01299.png,0.4,0.3,1.6,0.9,0.25,0.25,0.5,0.5,-0.10000000000000003,-0.7000000000000001,0.0,0.0,0.5,-0.05000000000000002,,,,,,,,
dct,cover_vs_stego,cover,stego,01399.png,0.0,0.24999999999999997,0.0,0.6,0.0,0.5,0.5,0.5,0.24999999999999997,0.6,0.5,0.0,0.5,0.12499999999999999,,,,,,,,
dct,cover_vs_stego,cover,stego,01499.png,0.0,0.3,0.0,0.9,0.0,0.5,0.5,0.5,0.3,0.9,0.5,0.0,0.5,0.15,,,,,,,,
dct,pre_secret_vs_secret,pre_secret,secret,00099.png,,,,,,,,,1.2,4.7,0.25,-0.033333333333333326,0.5166666666666666,0.6199999999999999,0.025,1.2249999999999999,0.1,4.8,0.0,0.25,0.5333333333333333,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00199.png,,,,,,,,,0.55,2.1,0.25,-0.033333333333333326,0.5166666666666666,0.2841666666666667,0.0,0.55,0.0,2.1,0.0,0.25,0.5333333333333333,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00299.png,,,,,,,,,0.725,2.8,0.25,0.0,0.5,0.3625,0.0,0.725,0.0,2.8,0.0,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00399.png,,,,,,,,,3.2249999999999996,12.799999999999999,0.0,0.0,0.5,1.6124999999999998,0.075,3.3,0.3,13.1,0.25,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00499.png,,,,,,,,,0.125,0.4,0.25,0.0,0.5,0.0625,0.0,0.125,0.0,0.4,0.0,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00599.png,,,,,,,,,0.05,0.2,0.0,0.0,0.5,0.025,0.0,0.05,0.0,0.2,0.0,0.0,0.5,0.5
