method,pair_name,role,image_dir,requested_dev,used_cpu,return_code,elapsed_sec,n_images_parsed,mean_image_score,max_image_score,mean_flagged_ratio,mean_confidence,error_summary,stdout_log,stderr_log
dct,cover_vs_stego,cover,data/baseline/4/results_raw/dct/cover,0,False,0,838.729478597641,15,0.045000000000000005,1.6,0.05,0.5044444444444445,,data/baseline/4/aletheia_outputs/logs/dct_cover_vs_stego_cover_stdout.txt,data/baseline/4/aletheia_outputs/logs/dct_cover_vs_stego_cover_stderr.txt
dct,cover_vs_stego,stego,data/baseline/4/results_raw/dct/stego,0,False,0,842.0618946552277,15,0.3483333333333334,1.0,0.4,0.5111111111111111,,data/baseline/4/aletheia_outputs/logs/dct_cover_vs_stego_stego_stdout.txt,data/baseline/4/aletheia_outputs/logs/dct_cover_vs_stego_stego_stderr.txt
dct,pre_secret_vs_secret,pre_secret,data/baseline/4/results_raw/dct/pre_secret,0,False,0,841.0517907142639,15,0.035,0.5,0.1,0.5044444444444445,,data/baseline/4/aletheia_outputs/logs/dct_pre_secret_vs_secret_pre_secret_stdout.txt,data/baseline/4/aletheia_outputs/logs/dct_pre_secret_vs_secret_pre_secret_stderr.txt
dct,pre_secret_vs_secret,secret,data/baseline/4/results_raw/dct/secret,0,False,0,851.072304725647,15,1.5266666666666666,13.1,0.21666666666666667,0.5,,data/baseline/4/aletheia_outputs/logs/dct_pre_secret_vs_secret_secret_stdout.txt,data/baseline/4/aletheia_outputs/logs/dct_pre_secret_vs_secret_secret_stderr.txt
dwt,cover_vs_stego,cover,data/baseline/4/results_raw/dwt/cover,0,False,0,834.6082844734192,15,0.045000000000000005,1.6,0.05,0.5066666666666666,,data/baseline/4/aletheia_outputs/logs/dwt_cover_vs_stego_cover_stdout.txt,data/baseline/4/aletheia_outputs/logs/dwt_cover_vs_stego_cover_stderr.txt
dwt,cover_vs_stego,stego,data/baseline/4/results_raw/dwt/stego,0,False,0,833.2005212306976,15,0.36000000000000004,1.0,0.45,0.5088888888888888,,data/baseline/4/aletheia_outputs/logs/dwt_cover_vs_stego_stego_stdout.txt,data/baseline/4/aletheia_outputs/logs/dwt_cover_vs_stego_stego_stderr.txt
dwt,pre_secret_vs_secret,pre_secret,data/baseline/4/results_raw/dwt/pre_secret,0,False,0,834.6855289936066,15,0.035,0.5,0.1,0.5044444444444445,,data/baseline/4/aletheia_outputs/logs/dwt_pre_secret_vs_secret_pre_secret_stdout.txt,data/baseline/4/aletheia_outputs/logs/dwt_pre_secret_vs_secret_pre_secret_stderr.txt
dwt,pre_secret_vs_secret,secret,data/baseline/4/results_raw/dwt/secret,0,False,0,836.5857131481171,15,0.15833333333333333,1.8,0.2,0.5,,data/baseline/4/aletheia_outputs/logs/dwt_pre_secret_vs_secret_secret_stdout.txt,data/baseline/4/aletheia_outputs/logs/dwt_pre_secret_vs_secret_secret_stderr.txt
lsb,cover_vs_stego,cover,data/baseline/4/results_raw/lsb/cover,0,False,0,830.3010084629059,15,0.045000000000000005,1.6,0.05,0.508888888888889,,data/baseline/4/aletheia_outputs/logs/lsb_cover_vs_stego_cover_stdout.txt,data/baseline/4/aletheia_outputs/logs/lsb_cover_vs_stego_cover_stderr.txt
lsb,cover_vs_stego,stego,data/baseline/4/results_raw/lsb/stego,0,False,0,841.413094997406,15,0.42500000000000004,1.0,0.5333333333333333,0.5177777777777777,,data/baseline/4/aletheia_outputs/logs/lsb_cover_vs_stego_stego_stdout.txt,data/baseline/4/aletheia_outputs/logs/lsb_cover_vs_stego_stego_stderr.txt
lsb,pre_secret_vs_secret,pre_secret,data/baseline/4/results_raw/lsb/pre_secret,0,False,0,844.4107618331909,15,0.035,0.5,0.1,0.5044444444444445,,data/baseline/4/aletheia_outputs/logs/lsb_pre_secret_vs_secret_pre_secret_stdout.txt,data/baseline/4/aletheia_outputs/logs/lsb_pre_secret_vs_secret_pre_secret_stderr.txt
lsb,pre_secret_vs_secret,secret,data/baseline/4/results_raw/lsb/secret,0,False,0,844.1478717327118,15,0.035,0.5,0.1,0.5044444444444445,,data/baseline/4/aletheia_outputs/logs/lsb_pre_secret_vs_secret_secret_stdout.txt,data/baseline/4/aletheia_outputs/logs/lsb_pre_secret_vs_secret_secret_stderr.txt
original,cover_vs_stego,cover,data/baseline/4/results_raw/original/cover,0,False,0,834.0602617263794,15,0.045000000000000005,1.6,0.05,0.5088888888888888,,data/baseline/4/aletheia_outputs/logs/original_cover_vs_stego_cover_stdout.txt,data/baseline/4/aletheia_outputs/logs/original_cover_vs_stego_cover_stderr.txt
original,cover_vs_stego,stego,data/baseline/4/results_raw/original/stego,0,False,0,841.4907050132751,15,0.42,1.0,0.5,0.5044444444444445,,data/baseline/4/aletheia_outputs/logs/original_cover_vs_stego_stego_stdout.txt,data/baseline/4/aletheia_outputs/logs/original_cover_vs_stego_stego_stderr.txt
original,pre_secret_vs_secret,pre_secret,data/baseline/4/results_raw/original/pre_secret,0,False,0,833.483847618103,15,0.03833333333333334,0.5,0.11666666666666667,0.5044444444444445,,data/baseline/4/aletheia_outputs/logs/original_pre_secret_vs_secret_pre_secret_stdout.txt,data/baseline/4/aletheia_outputs/logs/original_pre_secret_vs_secret_pre_secret_stderr.txt
original,pre_secret_vs_secret,secret,data/baseline/4/results_raw/original/secret,0,False,0,822.570428609848,15,0.03833333333333334,0.5,0.11666666666666667,0.5155555555555555,,data/baseline/4/aletheia_outputs/logs/original_pre_secret_vs_secret_secret_stdout.txt,data/baseline/4/aletheia_outputs/logs/original_pre_secret_vs_secret_secret_stderr.txt
spread_spectrum,cover_vs_stego,cover,data/baseline/4/results_raw/spread_spectrum/cover,0,False,0,769.4709944725037,15,0.045000000000000005,1.6,0.05,0.5044444444444445,,data/baseline/4/aletheia_outputs/logs/spread_spectrum_cover_vs_stego_cover_stdout.txt,data/baseline/4/aletheia_outputs/logs/spread_spectrum_cover_vs_stego_cover_stderr.txt
spread_spectrum,cover_vs_stego,stego,data/baseline/4/results_raw/spread_spectrum/stego,0,False,0,862.5135219097137,15,0.16000000000000003,1.0,0.18333333333333332,0.5044444444444445,,data/baseline/4/aletheia_outputs/logs/spread_spectrum_cover_vs_stego_stego_stdout.txt,data/baseline/4/aletheia_outputs/logs/spread_spectrum_cover_vs_stego_stego_stderr.txt
