method,pair_name,cover_score,cover_flagged_ratio,stego_score,stego_flagged_ratio,n_images_role_a,n_images_role_b,n_matched_images,score_gap,score_gap_median,score_gap_std,score_gap_sem,score_gap_ci95,score_gap_sign_consistency,flagged_gap,flagged_gap_median,flagged_gap_std,flagged_gap_sem,flagged_gap_ci95,score_gap_conf_weighted,score_gap_conf_weighted_ci95,pre_secret_score,pre_secret_flagged_ratio,secret_score,secret_flagged_ratio
dct,cover_vs_stego,0.045000000000000005,0.05,0.3483333333333334,0.4,15,15,15,0.3033333333333334,0.3,0.15025771511766361,0.038796375219325975,0.07604089542987891,0.9333333333333333,0.35,0.25,0.20701966780270625,0.05345224838248487,0.10476640682967034,0.15497222222222223,0.04004280627738148,,,,
dct,pre_secret_vs_secret,,,,,15,15,15,1.4916666666666667,1.2,1.1425873937607365,0.29501479650812457,0.5782290011559241,0.9333333333333333,0.11666666666666667,0.25,0.1599851183555461,0.04130797993547017,0.08096364067352153,0.7477777777777778,0.28867004227775694,0.035,0.1,1.5266666666666666,0.21666666666666667
dwt,cover_vs_stego,0.045000000000000005,0.05,0.36000000000000004,0.45,15,15,15,0.315,0.375,0.20524375751773788,0.052993710318615474,0.10386767222448633,0.9333333333333333,0.4,0.5,0.24640269015229058,0.06362090102803518,0.12469696601494895,0.16116666666666662,0.05366587535648493,,,,
dwt,pre_secret_vs_secret,,,,,15,15,15,0.12333333333333334,0.07500000000000002,0.1024114018949806,0.026442510266734304,0.05182732012279923,1.0,0.1,0.0,0.15811388300841897,0.040824829046386304,0.08001666493091715,0.061888888888888896,0.02589537613046529,0.035,0.1,0.15833333333333333,0.2
lsb,cover_vs_stego,0.045000000000000005,0.05,0.42500000000000004,0.5333333333333333,15,15,15,0.37999999999999995,0.45,0.21468415338418836,0.05543121005010668,0.10864517169820909,0.9333333333333333,0.48333333333333334,0.5,0.2209287754221342,0.05704356452719495,0.1118053864733021,0.19672222222222221,0.057059057979700845,,,,
lsb,pre_secret_vs_secret,,,,,15,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.1,0.035,0.1
original,cover_vs_stego,0.045000000000000005,0.05,0.42,0.5,15,15,15,0.37499999999999994,0.45,0.21086556313036442,0.05444525428617,0.1067126984008932,0.9333333333333333,0.45,0.5,0.19364916731037082,0.049999999999999996,0.09799999999999999,0.19083333333333333,0.05459900283989728,,,,
original,pre_secret_vs_secret,,,,,15,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03833333333333334,0.11666666666666667,0.03833333333333334,0.11666666666666667
spread_spectrum,cover_vs_stego,0.045000000000000005,0.05,0.16000000000000003,0.18333333333333332,15,15,15,0.11499999999999998,0.125,0.1332291259447423,0.03439961240091716,0.06742324030579763,0.9333333333333333,0.13333333333333333,0.25,0.12909944487358055,0.033333333333333326,0.06533333333333331,0.058333333333333334,0.03397886707068685,,,,
spread_spectrum,pre_secret_vs_secret,,,,,15,15,15,6.413333333333333,6.550000000000001,0.642669284721006,0.16593649578956593,0.3252355317475492,1.0,0.15,0.25,0.1267731382092775,0.032732683535398856,0.06415605972938175,3.2291944444444445,0.17220747532203742,0.035,0.1,6.448333333333333,0.25
statistical,cover_vs_stego,0.045000000000000005,0.05,0.37333333333333335,0.48333333333333334,15,15,15,0.3283333333333333,0.375,0.2072064762731219,0.053500482122141556,0.10486094495939745,0.9333333333333333,0.43333333333333335,0.5,0.24028752618081375,0.06204197247997802,0.12160226606075693,0.1681111111111111,0.05412988909860392,,,,
statistical,pre_secret_vs_secret,,,,,15,15,15,0.065,0.05,0.08803408430829505,0.022730302828309762,0.04455139354348713,0.8461538461538461,0.08333333333333333,0.0,0.1543033499620919,0.03984095364447979,0.07808826914318039,0.03286111111111111,0.022283945502547205,0.035,0.1,0.1,0.18333333333333332
