method,pair_name,cover_score,cover_flagged_ratio,stego_score,stego_flagged_ratio,n_images_role_a,n_images_role_b,n_matched_images,score_gap,score_gap_median,score_gap_std,score_gap_sem,score_gap_ci95,score_gap_sign_consistency,flagged_gap,flagged_gap_median,flagged_gap_std,flagged_gap_sem,flagged_gap_ci95,score_gap_conf_weighted,score_gap_conf_weighted_ci95,pre_secret_score,pre_secret_flagged_ratio,secret_score,secret_flagged_ratio
dct,cover_vs_stego,0.045000000000000005,0.05,0.26333333333333336,0.3333333333333333,15,15,15,0.21833333333333335,0.22499999999999998,0.19190461420294447,0.04954955832455755,0.0971171343161328,0.9333333333333333,0.2833333333333333,0.25,0.22886885410853172,0.05909368402852788,0.11582362069591465,0.11097222222222221,0.049382448836468404,,,,
dct,pre_secret_vs_secret,,,,,15,15,15,1.2049999999999998,1.3,0.9531994994303582,0.24611505246046822,0.4823855028225177,1.0,0.13333333333333333,0.25,0.12909944487358055,0.033333333333333326,0.06533333333333331,0.6088333333333333,0.24387507372666267,0.036666666666666674,0.11666666666666667,1.2416666666666667,0.25
dwt,cover_vs_stego,0.045000000000000005,0.05,0.3316666666666667,0.35,15,15,15,0.28666666666666674,0.35,0.18098605576384164,0.0467303986579417,0.09159158136956573,0.9333333333333333,0.3,0.25,0.16903085094570333,0.04364357804719848,0.08554141297250901,0.14572222222222225,0.04696017403799748,,,,
dwt,pre_secret_vs_secret,,,,,15,15,15,0.14666666666666667,0.125,0.12459458063579461,0.032170182388675306,0.0630535574818036,1.0,0.1,0.0,0.1267731382092775,0.032732683535398856,0.06415605972938175,0.07372222222222222,0.03187815374860584,0.036666666666666674,0.11666666666666667,0.18333333333333332,0.21666666666666667
lsb,cover_vs_stego,0.045000000000000005,0.05,0.295,0.3333333333333333,15,15,15,0.25,0.275,0.22677868380553634,0.05855400437691199,0.1147658485787475,0.8666666666666667,0.2833333333333333,0.25,0.3114864515894865,0.08042545597168826,0.157633893704509,0.12925,0.058357007196127596,,,,
lsb,pre_secret_vs_secret,,,,,15,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036666666666666674,0.11666666666666667,0.036666666666666674,0.11666666666666667
original,cover_vs_stego,0.045000000000000005,0.05,0.2983333333333334,0.35,15,15,15,0.2533333333333333,0.3,0.22694922864145714,0.05859803886419885,0.11485215617382974,0.8666666666666667,0.3,0.25,0.31622776601683794,0.08164965809277261,0.1600333298618343,0.12983333333333333,0.057854187946621144,,,,
original,pre_secret_vs_secret,,,,,15,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03833333333333334,0.11666666666666667,0.03833333333333334,0.11666666666666667
spread_spectrum,cover_vs_stego,0.045000000000000005,0.05,0.12000000000000002,0.18333333333333332,15,15,15,0.075,0.07500000000000001,0.1569804355416851,0.04053217416888888,0.07944306137102221,0.8461538461538461,0.13333333333333333,0.25,0.18580583823930164,0.047974861141928296,0.09403072783817946,0.03855555555555555,0.04036844322787263,,,,
spread_spectrum,pre_secret_vs_secret,,,,,15,15,15,5.698333333333333,5.8500000000000005,1.8248891029581054,0.4711843402954756,0.9235213069791322,1.0,0.13333333333333333,0.25,0.12909944487358055,0.033333333333333326,0.06533333333333331,2.888416666666666,0.467650556121492,0.036666666666666674,0.11666666666666667,5.735000000000001,0.25
statistical,cover_vs_stego,0.045000000000000005,0.05,0.2983333333333334,0.35,15,15,15,0.25333333333333335,0.3,0.20086124089838261,0.05186214939319946,0.10164981281067094,0.8666666666666667,0.3,0.25,0.31622776601683794,0.08164965809277261,0.1600333298618343,0.12997222222222224,0.05228971945319488,,,,
statistical,pre_secret_vs_secret,,,,,15,15,15,0.065,0.05,0.08546093510236961,0.022065918560186023,0.043249200377964606,0.9166666666666666,0.11666666666666667,0.0,0.12909944487358055,0.033333333333333326,0.06533333333333331,0.03255555555555555,0.021619586569978394,0.036666666666666674,0.11666666666666667,0.10166666666666667,0.23333333333333334
