method,pair_name,role,image_dir,requested_dev,used_cpu,return_code,elapsed_sec,n_images_parsed,mean_image_score,max_image_score,mean_flagged_ratio,mean_confidence,error_summary,stdout_log,stderr_log
dct,cover_vs_stego,cover,data/baseline/1/results_raw/dct/cover,0,False,0,824.7458953857422,15,0.045000000000000005,1.6,0.05,0.5111111111111112,,data/baseline/1/aletheia_outputs/logs/dct_cover_vs_stego_cover_stdout.txt,data/baseline/1/aletheia_outputs/logs/dct_cover_vs_stego_cover_stderr.txt
dct,cover_vs_stego,stego,data/baseline/1/results_raw/dct/stego,0,False,0,841.3185000419617,15,0.23666666666666666,1.0,0.25,0.5044444444444445,,data/baseline/1/aletheia_outputs/logs/dct_cover_vs_stego_stego_stdout.txt,data/baseline/1/aletheia_outputs/logs/dct_cover_vs_stego_stego_stderr.txt
dct,pre_secret_vs_secret,pre_secret,data/baseline/1/results_raw/dct/pre_secret,0,False,0,839.5239794254303,15,0.03833333333333334,0.5,0.11666666666666667,0.5066666666666666,,data/baseline/1/aletheia_outputs/logs/dct_pre_secret_vs_secret_pre_secret_stdout.txt,data/baseline/1/aletheia_outputs/logs/dct_pre_secret_vs_secret_pre_secret_stderr.txt
dct,pre_secret_vs_secret,secret,data/baseline/1/results_raw/dct/secret,0,False,0,831.4225165843964,15,1.4016666666666666,12.9,0.23333333333333334,0.5,,data/baseline/1/aletheia_outputs/logs/dct_pre_secret_vs_secret_secret_stdout.txt,data/baseline/1/aletheia_outputs/logs/dct_pre_secret_vs_secret_secret_stderr.txt
dwt,cover_vs_stego,cover,data/baseline/1/results_raw/dwt/cover,0,False,0,836.6554052829742,15,0.045000000000000005,1.6,0.05,0.5044444444444445,,data/baseline/1/aletheia_outputs/logs/dwt_cover_vs_stego_cover_stdout.txt,data/baseline/1/aletheia_outputs/logs/dwt_cover_vs_stego_cover_stderr.txt
dwt,cover_vs_stego,stego,data/baseline/1/results_raw/dwt/stego,0,False,0,840.1597163677216,15,0.35000000000000003,1.0,0.4166666666666667,0.5088888888888888,,data/baseline/1/aletheia_outputs/logs/dwt_cover_vs_stego_stego_stdout.txt,data/baseline/1/aletheia_outputs/logs/dwt_cover_vs_stego_stego_stderr.txt
dwt,pre_secret_vs_secret,pre_secret,data/baseline/1/results_raw/dwt/pre_secret,0,False,0,835.3975596427917,15,0.03833333333333334,0.5,0.11666666666666667,0.5066666666666666,,data/baseline/1/aletheia_outputs/logs/dwt_pre_secret_vs_secret_pre_secret_stdout.txt,data/baseline/1/aletheia_outputs/logs/dwt_pre_secret_vs_secret_pre_secret_stderr.txt
dwt,pre_secret_vs_secret,secret,data/baseline/1/results_raw/dwt/secret,0,False,0,834.2195463180542,15,0.22,2.4,0.2833333333333333,0.5,,data/baseline/1/aletheia_outputs/logs/dwt_pre_secret_vs_secret_secret_stdout.txt,data/baseline/1/aletheia_outputs/logs/dwt_pre_secret_vs_secret_secret_stderr.txt
lsb,cover_vs_stego,cover,data/baseline/1/results_raw/lsb/cover,0,False,0,840.572459936142,15,0.045000000000000005,1.6,0.05,0.508888888888889,,data/baseline/1/aletheia_outputs/logs/lsb_cover_vs_stego_cover_stdout.txt,data/baseline/1/aletheia_outputs/logs/lsb_cover_vs_stego_cover_stderr.txt
lsb,cover_vs_stego,stego,data/baseline/1/results_raw/lsb/stego,0,False,0,828.7131202220917,15,0.30833333333333335,1.0,0.38333333333333336,0.5155555555555555,,data/baseline/1/aletheia_outputs/logs/lsb_cover_vs_stego_stego_stdout.txt,data/baseline/1/aletheia_outputs/logs/lsb_cover_vs_stego_stego_stderr.txt
