method,pair_name,cover_score,cover_flagged_ratio,stego_score,stego_flagged_ratio,n_images_role_a,n_images_role_b,n_matched_images,score_gap,score_gap_median,score_gap_std,score_gap_sem,score_gap_ci95,score_gap_sign_consistency,flagged_gap,flagged_gap_median,flagged_gap_std,flagged_gap_sem,flagged_gap_ci95,score_gap_conf_weighted,score_gap_conf_weighted_ci95,pre_secret_score,pre_secret_flagged_ratio,secret_score,secret_flagged_ratio
dct,cover_vs_stego,0.045000000000000005,0.05,0.23666666666666666,0.25,15,15,15,0.19166666666666668,0.225,0.17414758382584858,0.044964712795984775,0.08813083708013016,0.9333333333333333,0.2,0.25,0.16903085094570333,0.04364357804719848,0.08554141297250901,0.09855555555555555,0.04630598878688224,,,,
dct,pre_secret_vs_secret,,,,,15,15,15,1.3633333333333333,1.325,1.0113139731957392,0.26112014506493014,0.5117954843272631,1.0,0.11666666666666667,0.0,0.12909944487358055,0.033333333333333326,0.06533333333333331,0.6836666666666666,0.25582410007225237,0.03833333333333334,0.11666666666666667,1.4016666666666666,0.23333333333333334
dwt,cover_vs_stego,0.045000000000000005,0.05,0.35000000000000003,0.4166666666666667,15,15,15,0.30500000000000005,0.375,0.2138507490217017,0.05521602596900218,0.10822341089924427,0.9333333333333333,0.36666666666666664,0.5,0.22886885410853172,0.05909368402852788,0.11582362069591465,0.15511111111111112,0.05499950337598457,,,,
dwt,pre_secret_vs_secret,,,,,15,15,15,0.18166666666666664,0.15,0.1174379268663521,0.030322342331100417,0.059431790968956816,1.0,0.16666666666666666,0.25,0.1543033499620919,0.03984095364447979,0.07808826914318039,0.09155555555555556,0.02993487624910754,0.03833333333333334,0.11666666666666667,0.22,0.2833333333333333
lsb,cover_vs_stego,0.045000000000000005,0.05,0.30833333333333335,0.38333333333333336,15,15,15,0.26333333333333336,0.25,0.17419884642338507,0.04497794874175425,0.08815677953383834,0.9333333333333333,0.3333333333333333,0.25,0.2041241452319315,0.05270462766947299,0.10330107023216706,0.1355277777777778,0.045881874510987186,,,,
lsb,pre_secret_vs_secret,,,,,15,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03833333333333334,0.11666666666666667,0.03833333333333334,0.11666666666666667
original,cover_vs_stego,0.045000000000000005,0.05,0.30833333333333335,0.4166666666666667,15,15,15,0.26333333333333336,0.2,0.17419884642338507,0.04497794874175425,0.08815677953383834,0.9333333333333333,0.36666666666666664,0.25,0.208452346958198,0.05382216454979674,0.1054914425176016,0.13580555555555557,0.046252639577663394,,,,
original,pre_secret_vs_secret,,,,,15,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03833333333333334,0.11666666666666667,0.03833333333333334,0.11666666666666667
spread_spectrum,cover_vs_stego,0.045000000000000005,0.05,0.16999999999999996,0.23333333333333334,15,15,15,0.12499999999999999,0.125,0.13496031162636557,0.03484660262185847,0.0682993411388426,0.9333333333333333,0.18333333333333332,0.25,0.1759328876372492,0.04542567625794979,0.08903432546558158,0.06266666666666666,0.03416796810529482,,,,
spread_spectrum,pre_secret_vs_secret,,,,,15,15,15,6.248333333333333,6.1000000000000005,0.9885716006055453,0.25524808971192575,0.5002862558353744,1.0,0.13333333333333333,0.25,0.12909944487358055,0.033333333333333326,0.06533333333333331,3.1241666666666665,0.2501431279176872,0.03833333333333334,0.11666666666666667,6.286666666666666,0.25
statistical,cover_vs_stego,0.045000000000000005,0.05,0.375,0.48333333333333334,15,15,15,0.33,0.425,0.21259451679530347,0.054891668202881556,0.10758766967764785,0.9333333333333333,0.43333333333333335,0.5,0.2749458821208968,0.0709907215041694,0.139141814148172,0.16808333333333333,0.05460783205935045,,,,
statistical,pre_secret_vs_secret,,,,,15,15,15,0.07999999999999999,0.075,0.07083683464735803,0.018289992059151078,0.03584838443593611,0.9285714285714286,0.11666666666666667,0.0,0.12909944487358055,0.033333333333333326,0.06533333333333331,0.04016666666666667,0.01796238837950834,0.03833333333333334,0.11666666666666667,0.11833333333333335,0.23333333333333334
