method,pair_name,role_a,role_b,image_name,cover_mean_score,stego_mean_score,cover_max_score,stego_max_score,cover_flagged_ratio,stego_flagged_ratio,cover_mean_conf,stego_mean_conf,score_delta,max_score_delta,flagged_ratio_delta,confidence_delta,pair_mean_conf,score_delta_conf_weighted,pre_secret_mean_score,secret_mean_score,pre_secret_max_score,secret_max_score,pre_secret_flagged_ratio,secret_flagged_ratio,pre_secret_mean_conf,secret_mean_conf
dct,cover_vs_stego,cover,stego,00099.png,0.0,0.30000000000000004,0.0,0.8,0.0,0.25,0.5,0.5,0.30000000000000004,0.8,0.25,0.0,0.5,0.15000000000000002,,,,,,,,
dct,cover_vs_stego,cover,stego,00199.png,0.1,0.25,0.4,0.9,0.25,0.25,0.5,0.5333333333333333,0.15,0.5,0.0,0.033333333333333326,0.5166666666666666,0.07749999999999999,,,,,,,,
dct,cover_vs_stego,cover,stego,00299.png,0.0,0.225,0.0,0.8,0.0,0.25,0.5,0.5,0.225,0.8,0.25,0.0,0.5,0.1125,,,,,,,,
dct,cover_vs_stego,cover,stego,00399.png,0.0,0.025,0.0,0.1,0.0,0.0,0.5,0.5,0.025,0.1,0.0,0.0,0.5,0.0125,,,,,,,,
dct,cover_vs_stego,cover,stego,00499.png,0.0,0.25,0.0,0.6,0.0,0.25,0.5,0.5,0.25,0.6,0.25,0.0,0.5,0.125,,,,,,,,
dct,cover_vs_stego,cover,stego,00599.png,0.0,0.19999999999999998,0.0,0.7,0.0,0.25,0.5333333333333333,0.5,0.19999999999999998,0.7,0.25,-0.033333333333333326,0.5166666666666666,0.10333333333333332,,,,,,,,
dct,cover_vs_stego,cover,stego,00699.png,0.0,0.1,0.0,0.4,0.0,0.0,0.5,0.5333333333333333,0.1,0.4,0.0,0.033333333333333326,0.5166666666666666,0.051666666666666666,,,,,,,,
dct,cover_vs_stego,cover,stego,00799.png,0.15000000000000002,0.4,0.2,1.0,0.25,0.5,0.5,0.5,0.25,0.8,0.25,0.0,0.5,0.125,,,,,,,,
dct,cover_vs_stego,cover,stego,00899.png,0.0,0.4,0.0,0.9,0.0,0.5,0.5,0.5,0.4,0.9,0.5,0.0,0.5,0.2,,,,,,,,
dct,cover_vs_stego,cover,stego,00999.png,0.0,0.5,0.0,1.0,0.0,0.5,0.6333333333333334,0.5,0.5,1.0,0.5,-0.13333333333333341,0.5666666666666667,0.2833333333333333,,,,,,,,
dct,cover_vs_stego,cover,stego,01099.png,0.025,0.25,0.1,0.8,0.0,0.25,0.5,0.5,0.225,0.7000000000000001,0.25,0.0,0.5,0.1125,,,,,,,,
dct,cover_vs_stego,cover,stego,01199.png,0.0,0.25,0.0,0.9,0.0,0.25,0.5,0.5,0.25,0.9,0.25,0.0,0.5,0.125,,,,,,,,
dct,cover_vs_stego,cover,stego,01299.png,0.4,0.125,1.6,0.3,0.25,0.25,0.5,0.5,-0.275,-1.3,0.0,0.0,0.5,-0.1375,,,,,,,,
dct,cover_vs_stego,cover,stego,01399.png,0.0,0.125,0.0,0.4,0.0,0.0,0.5,0.5,0.125,0.4,0.0,0.0,0.5,0.0625,,,,,,,,
dct,cover_vs_stego,cover,stego,01499.png,0.0,0.15,0.0,0.3,0.0,0.25,0.5,0.5,0.15,0.3,0.25,0.0,0.5,0.075,,,,,,,,
dct,pre_secret_vs_secret,pre_secret,secret,00099.png,,,,,,,,,1.5,5.9,0.25,-0.033333333333333326,0.5166666666666666,0.7749999999999999,0.025,1.525,0.1,6.0,0.0,0.25,0.5333333333333333,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00199.png,,,,,,,,,0.15,0.5,0.25,-0.06666666666666676,0.5333333333333334,0.08000000000000002,0.0,0.15,0.0,0.5,0.0,0.25,0.5666666666666668,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00299.png,,,,,,,,,0.325,1.2,0.25,0.0,0.5,0.1625,0.0,0.325,0.0,1.2,0.0,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00399.png,,,,,,,,,2.8,11.1,0.0,0.0,0.5,1.4,0.075,2.875,0.3,11.4,0.25,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00499.png,,,,,,,,,0.6,2.3,0.25,0.0,0.5,0.3,0.0,0.6,0.0,2.3,0.0,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00599.png,,,,,,,,,0.025,0.1,0.0,0.0,0.5,0.0125,0.0,0.025,0.0,0.1,0.0,0.0,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00699.png,,,,,,,,,3.15,12.5,0.0,0.0,0.5,1.575,0.1,3.25,0.4,12.9,0.25,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00799.png,,,,,,,,,2.625,10.4,0.25,0.0,0.5,1.3125,0.0,2.625,0.0,10.4,0.0,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00899.png,,,,,,,,,1.1,4.300000000000001,0.25,0.0,0.5,0.55,0.025,1.125,0.1,4.4,0.0,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00999.png,,,,,,,,,2.1750000000000003,8.9,0.0,0.0,0.5,1.0875000000000001,0.175,2.35,0.5,9.4,0.25,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,01099.png,,,,,,,,,1.65,6.5,0.0,0.0,0.5,0.825,0.025,1.6749999999999998,0.1,6.6,0.25,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,01199.png,,,,,,,,,0.9,3.5,0.25,0.0,0.5,0.45,0.0,0.9,0.0,3.5,0.0,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,01299.png,,,,,,,,,1.8749999999999998,7.3999999999999995,0.0,0.0,0.5,0.9374999999999999,0.05,1.9249999999999998,0.2,7.6,0.25,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,01399.png,,,,,,,,,0.25000000000000006,0.9000000000000001,0.0,0.0,0.5,0.12500000000000003,0.05,0.30000000000000004,0.2,1.1,0.25,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,01499.png,,,,,,,,,1.325,5.2,0.0,0.0,0.5,0.6625,0.05,1.375,0.2,5.4,0.25,0.25,0.5,0.5
dwt,cover_vs_stego,cover,stego,00099.png,0.0,0.375,0.0,1.0,0.0,0.5,0.5,0.5,0.375,1.0,0.5,0.0,0.5,0.1875,,,,,,,,
dwt,cover_vs_stego,cover,stego,00199.png,0.1,0.4,0.4,0.8,0.25,0.5,0.5,0.5,0.30000000000000004,0.4,0.25,0.0,0.5,0.15000000000000002,,,,,,,,
dwt,cover_vs_stego,cover,stego,00299.png,0.0,0.42500000000000004,0.0,0.9,0.0,0.5,0.5,0.5,0.42500000000000004,0.9,0.5,0.0,0.5,0.21250000000000002,,,,,,,,
dwt,cover_vs_stego,cover,stego,00399.png,0.0,0.025,0.0,0.1,0.0,0.0,0.5,0.5,0.025,0.1,0.0,0.0,0.5,0.0125,,,,,,,,
