method,pair_name,role,image_dir,requested_dev,used_cpu,return_code,elapsed_sec,n_images_parsed,mean_image_score,max_image_score,mean_flagged_ratio,mean_confidence,error_summary,stdout_log,stderr_log
dct,cover_vs_stego,cover,data/baseline/6/results_raw/dct/cover,0,False,0,833.08718085289,15,0.045000000000000005,1.6,0.05,0.5,,data/baseline/6/aletheia_outputs/logs/dct_cover_vs_stego_cover_stdout.txt,data/baseline/6/aletheia_outputs/logs/dct_cover_vs_stego_cover_stderr.txt
dct,cover_vs_stego,stego,data/baseline/6/results_raw/dct/stego,0,False,0,844.3047304153442,15,0.40166666666666667,1.0,0.45,0.5044444444444445,,data/baseline/6/aletheia_outputs/logs/dct_cover_vs_stego_stego_stdout.txt,data/baseline/6/aletheia_outputs/logs/dct_cover_vs_stego_stego_stderr.txt
dct,pre_secret_vs_secret,pre_secret,data/baseline/6/results_raw/dct/pre_secret,0,False,0,847.3864221572876,15,0.03833333333333334,0.5,0.11666666666666667,0.5066666666666666,,data/baseline/6/aletheia_outputs/logs/dct_pre_secret_vs_secret_pre_secret_stdout.txt,data/baseline/6/aletheia_outputs/logs/dct_pre_secret_vs_secret_pre_secret_stderr.txt
dct,pre_secret_vs_secret,secret,data/baseline/6/results_raw/dct/secret,0,False,0,836.0479834079742,15,1.2866666666666666,12.8,0.21666666666666667,0.5,,data/baseline/6/aletheia_outputs/logs/dct_pre_secret_vs_secret_secret_stdout.txt,data/baseline/6/aletheia_outputs/logs/dct_pre_secret_vs_secret_secret_stderr.txt
dwt,cover_vs_stego,cover,data/baseline/6/results_raw/dwt/cover,0,False,0,846.2635667324066,15,0.045000000000000005,1.6,0.05,0.5111111111111112,,data/baseline/6/aletheia_outputs/logs/dwt_cover_vs_stego_cover_stdout.txt,data/baseline/6/aletheia_outputs/logs/dwt_cover_vs_stego_cover_stderr.txt
dwt,cover_vs_stego,stego,data/baseline/6/results_raw/dwt/stego,0,False,0,853.5952758789062,15,0.44,1.0,0.5333333333333333,0.5088888888888888,,data/baseline/6/aletheia_outputs/logs/dwt_cover_vs_stego_stego_stdout.txt,data/baseline/6/aletheia_outputs/logs/dwt_cover_vs_stego_stego_stderr.txt
dwt,pre_secret_vs_secret,pre_secret,data/baseline/6/results_raw/dwt/pre_secret,0,False,0,854.4168584346771,15,0.03833333333333334,0.5,0.11666666666666667,0.5022222222222222,,data/baseline/6/aletheia_outputs/logs/dwt_pre_secret_vs_secret_pre_secret_stdout.txt,data/baseline/6/aletheia_outputs/logs/dwt_pre_secret_vs_secret_pre_secret_stderr.txt
dwt,pre_secret_vs_secret,secret,data/baseline/6/results_raw/dwt/secret,0,False,0,845.148227930069,15,0.145,1.5,0.21666666666666667,0.5,,data/baseline/6/aletheia_outputs/logs/dwt_pre_secret_vs_secret_secret_stdout.txt,data/baseline/6/aletheia_outputs/logs/dwt_pre_secret_vs_secret_secret_stderr.txt
lsb,cover_vs_stego,cover,data/baseline/6/results_raw/lsb/cover,0,False,0,856.7396838665009,15,0.045000000000000005,1.6,0.05,0.5044444444444445,,data/baseline/6/aletheia_outputs/logs/lsb_cover_vs_stego_cover_stdout.txt,data/baseline/6/aletheia_outputs/logs/lsb_cover_vs_stego_cover_stderr.txt
lsb,cover_vs_stego,stego,data/baseline/6/results_raw/lsb/stego,0,False,0,854.690113067627,15,0.34166666666666673,1.0,0.4,0.5133333333333333,,data/baseline/6/aletheia_outputs/logs/lsb_cover_vs_stego_stego_stdout.txt,data/baseline/6/aletheia_outputs/logs/lsb_cover_vs_stego_stego_stderr.txt
