method,pair_name,role_a,role_b,image_name,cover_mean_score,stego_mean_score,cover_max_score,stego_max_score,cover_flagged_ratio,stego_flagged_ratio,cover_mean_conf,stego_mean_conf,score_delta,max_score_delta,flagged_ratio_delta,confidence_delta,pair_mean_conf,score_delta_conf_weighted,pre_secret_mean_score,secret_mean_score,pre_secret_max_score,secret_max_score,pre_secret_flagged_ratio,secret_flagged_ratio,pre_secret_mean_conf,secret_mean_conf
dct,cover_vs_stego,cover,stego,00099.png,0.0,0.35,0.0,1.0,0.0,0.25,0.5,0.5,0.35,1.0,0.25,0.0,0.5,0.175,,,,,,,,
dct,cover_vs_stego,cover,stego,00199.png,0.1,0.5,0.4,1.0,0.25,0.5,0.5,0.5,0.4,0.6,0.25,0.0,0.5,0.2,,,,,,,,
dct,cover_vs_stego,cover,stego,00299.png,0.0,0.45,0.0,1.0,0.0,0.5,0.5,0.5,0.45,1.0,0.5,0.0,0.5,0.225,,,,,,,,
dct,cover_vs_stego,cover,stego,00399.png,0.0,0.1,0.0,0.3,0.0,0.25,0.5,0.5,0.1,0.3,0.25,0.0,0.5,0.05,,,,,,,,
dct,cover_vs_stego,cover,stego,00499.png,0.0,0.475,0.0,1.0,0.0,0.5,0.5,0.5,0.475,1.0,0.5,0.0,0.5,0.2375,,,,,,,,
dct,cover_vs_stego,cover,stego,00599.png,0.0,0.5,0.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.25,,,,,,,,
dct,cover_vs_stego,cover,stego,00699.png,0.0,0.425,0.0,1.0,0.0,0.5,0.5,0.5,0.425,1.0,0.5,0.0,0.5,0.2125,,,,,,,,
dct,cover_vs_stego,cover,stego,00799.png,0.15000000000000002,0.5,0.2,1.0,0.25,0.5,0.5,0.5,0.35,0.8,0.25,0.0,0.5,0.175,,,,,,,,
dct,cover_vs_stego,cover,stego,00899.png,0.0,0.45,0.0,0.9,0.0,0.5,0.5,0.5,0.45,0.9,0.5,0.0,0.5,0.225,,,,,,,,
dct,cover_vs_stego,cover,stego,00999.png,0.0,0.5,0.0,1.0,0.0,0.5,0.5,0.5333333333333333,0.5,1.0,0.5,0.033333333333333326,0.5166666666666666,0.2583333333333333,,,,,,,,
dct,cover_vs_stego,cover,stego,01099.png,0.025,0.4,0.1,0.7,0.0,0.25,0.5,0.5333333333333333,0.375,0.6,0.25,0.033333333333333326,0.5166666666666666,0.19374999999999998,,,,,,,,
dct,cover_vs_stego,cover,stego,01199.png,0.0,0.35000000000000003,0.0,1.0,0.0,0.5,0.5,0.5,0.35000000000000003,1.0,0.5,0.0,0.5,0.17500000000000002,,,,,,,,
dct,cover_vs_stego,cover,stego,01299.png,0.4,0.275,1.6,0.5,0.25,0.5,0.5,0.5,-0.125,-1.1,0.25,0.0,0.5,-0.0625,,,,,,,,
dct,cover_vs_stego,cover,stego,01399.png,0.0,0.25,0.0,0.6,0.0,0.25,0.5,0.5,0.25,0.6,0.25,0.0,0.5,0.125,,,,,,,,
dct,cover_vs_stego,cover,stego,01499.png,0.0,0.5,0.0,1.0,0.0,0.75,0.5,0.5,0.5,1.0,0.75,0.0,0.5,0.25,,,,,,,,
dct,pre_secret_vs_secret,pre_secret,secret,00099.png,,,,,,,,,0.9999999999999999,3.9,0.25,-0.033333333333333326,0.5166666666666666,0.5166666666666665,0.025,1.025,0.1,4.0,0.0,0.25,0.5333333333333333,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00199.png,,,,,,,,,0.375,1.4,0.25,-0.033333333333333326,0.5166666666666666,0.19374999999999998,0.0,0.375,0.0,1.4,0.0,0.25,0.5333333333333333,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00299.png,,,,,,,,,0.025,0.1,0.0,0.0,0.5,0.0125,0.0,0.025,0.0,0.1,0.0,0.0,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00399.png,,,,,,,,,3.025,12.0,0.0,0.0,0.5,1.5125,0.075,3.1,0.3,12.3,0.25,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00499.png,,,,,,,,,0.375,1.4,0.25,0.0,0.5,0.1875,0.0,0.375,0.0,1.4,0.0,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00599.png,,,,,,,,,0.05,0.1,0.25,0.0,0.5,0.025,0.0,0.05,0.0,0.1,0.0,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00699.png,,,,,,,,,3.125,12.4,0.0,0.0,0.5,1.5625,0.1,3.225,0.4,12.8,0.25,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00799.png,,,,,,,,,2.25,8.9,0.25,-0.033333333333333326,0.5166666666666666,1.1624999999999999,0.0,2.25,0.0,8.9,0.0,0.25,0.5333333333333333,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00899.png,,,,,,,,,0.925,3.6,0.25,0.0,0.5,0.4625,0.025,0.9500000000000001,0.1,3.7,0.0,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00999.png,,,,,,,,,2.1750000000000003,8.9,0.0,0.0,0.5,1.0875000000000001,0.175,2.35,0.5,9.4,0.25,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,01099.png,,,,,,,,,1.35,5.300000000000001,0.0,0.0,0.5,0.675,0.025,1.375,0.1,5.4,0.25,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,01199.png,,,,,,,,,0.625,2.4,0.25,0.0,0.5,0.3125,0.0,0.625,0.0,2.4,0.0,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,01299.png,,,,,,,,,1.15,4.3999999999999995,0.0,0.0,0.5,0.575,0.05,1.2,0.2,4.6,0.25,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,01399.png,,,,,,,,,0.0,0.0,-0.25,0.0,0.5,0.0,0.05,0.05,0.2,0.2,0.25,0.0,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,01499.png,,,,,,,,,2.275,9.0,0.0,0.0,0.5,1.1375,0.05,2.3249999999999997,0.2,9.2,0.25,0.25,0.5,0.5
dwt,cover_vs_stego,cover,stego,00099.png,0.0,0.45,0.0,1.0,0.0,0.5,0.5,0.5,0.45,1.0,0.5,0.0,0.5,0.225,,,,,,,,
dwt,cover_vs_stego,cover,stego,00199.png,0.1,0.525,0.4,1.0,0.25,0.75,0.5,0.5333333333333333,0.42500000000000004,0.6,0.5,0.033333333333333326,0.5166666666666666,0.21958333333333332,,,,,,,,
dwt,cover_vs_stego,cover,stego,00299.png,0.0,0.525,0.0,1.0,0.0,0.75,0.5,0.5333333333333333,0.525,1.0,0.75,0.033333333333333326,0.5166666666666666,0.27125,,,,,,,,
dwt,cover_vs_stego,cover,stego,00399.png,0.0,0.2,0.0,0.8,0.0,0.25,0.5,0.5,0.2,0.8,0.25,0.0,0.5,0.1,,,,,,,,
dwt,cover_vs_stego,cover,stego,00499.png,0.0,0.55,0.0,1.0,0.0,0.75,0.5,0.5,0.55,1.0,0.75,0.0,0.5,0.275,,,,,,,,
dwt,cover_vs_stego,cover,stego,00599.png,0.0,0.5,0.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.25,,,,,,,,
dwt,cover_vs_stego,cover,stego,00699.png,0.0,0.55,0.0,1.0,0.0,0.75,0.5,0.5,0.55,1.0,0.75,0.0,0.5,0.275,,,,,,,,
dwt,cover_vs_stego,cover,stego,00799.png,0.15000000000000002,0.375,0.2,0.7,0.25,0.5,0.5,0.5,0.22499999999999998,0.49999999999999994,0.25,0.0,0.5,0.11249999999999999,,,,,,,,
dwt,cover_vs_stego,cover,stego,00899.png,0.0,0.475,0.0,1.0,0.0,0.5,0.5,0.5,0.475,1.0,0.5,0.0,0.5,0.2375,,,,,,,,
