method,pair_name,cover_score,cover_flagged_ratio,stego_score,stego_flagged_ratio,n_images_role_a,n_images_role_b,n_matched_images,score_gap,score_gap_median,score_gap_std,score_gap_sem,score_gap_ci95,score_gap_sign_consistency,flagged_gap,flagged_gap_median,flagged_gap_std,flagged_gap_sem,flagged_gap_ci95,score_gap_conf_weighted,score_gap_conf_weighted_ci95,pre_secret_score,pre_secret_flagged_ratio,secret_score,secret_flagged_ratio
dct,cover_vs_stego,0.045000000000000005,0.05,0.40166666666666667,0.45,15,15,15,0.35666666666666663,0.4,0.1709915063331955,0.04414981709142574,0.08653364149919446,0.9333333333333333,0.4,0.5,0.15811388300841897,0.040824829046386304,0.08001666493091715,0.17930555555555555,0.043562482088134194,,,,
dct,pre_secret_vs_secret,,,,,15,15,15,1.2483333333333333,0.9999999999999999,1.0752269970746156,0.27762241687083977,0.5441399370668459,1.0,0.1,0.0,0.15811388300841897,0.040824829046386304,0.08001666493091715,0.6281944444444444,0.2730580806371321,0.03833333333333334,0.11666666666666667,1.2866666666666666,0.21666666666666667
dwt,cover_vs_stego,0.045000000000000005,0.05,0.44,0.5333333333333333,15,15,15,0.3950000000000001,0.475,0.2200243493018768,0.05681004270708616,0.11134768370588886,0.9333333333333333,0.48333333333333334,0.5,0.25819888974716115,0.06666666666666667,0.13066666666666665,0.20244444444444448,0.057394925776921,,,,
dwt,pre_secret_vs_secret,,,,,15,15,15,0.10666666666666669,0.07500000000000001,0.08735532256796022,0.022555047300552456,0.04420789270908281,1.0,0.1,0.0,0.158113883008419,0.04082482904638631,0.08001666493091716,0.053555555555555565,0.022236578251738262,0.03833333333333334,0.11666666666666667,0.145,0.21666666666666667
lsb,cover_vs_stego,0.045000000000000005,0.05,0.34166666666666673,0.4,15,15,15,0.2966666666666667,0.4,0.22257957378579613,0.05746979883188889,0.11264080571050221,0.8,0.35,0.5,0.280305955290694,0.07237468644557458,0.14185438543332618,0.1517222222222222,0.05726047118644613,,,,
lsb,pre_secret_vs_secret,,,,,15,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03833333333333334,0.11666666666666667,0.03833333333333334,0.11666666666666667
original,cover_vs_stego,0.045000000000000005,0.05,0.3416666666666666,0.4,15,15,15,0.29666666666666663,0.4,0.22734230536687142,0.05869953083828627,0.11505108044304108,0.8,0.35,0.5,0.280305955290694,0.07237468644557458,0.14185438543332618,0.1531111111111111,0.059292521117707817,,,,
original,pre_secret_vs_secret,,,,,15,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03833333333333334,0.11666666666666667,0.03833333333333334,0.11666666666666667
spread_spectrum,cover_vs_stego,0.045000000000000005,0.05,0.13333333333333333,0.15,15,15,15,0.08833333333333333,0.1,0.16660117760974075,0.043016239089404655,0.08431182861523312,0.9333333333333333,0.1,0.0,0.22756474745819988,0.058756965139300316,0.11516365167302861,0.0453611111111111,0.04254503523863614,,,,
spread_spectrum,pre_secret_vs_secret,,,,,15,15,15,5.916666666666668,5.8500000000000005,1.0682791012161748,0.27582847787411147,0.5406238166332584,1.0,0.13333333333333333,0.25,0.12909944487358055,0.033333333333333326,0.06533333333333331,2.973166666666667,0.2768095571902311,0.03833333333333334,0.11666666666666667,5.955000000000001,0.25
statistical,cover_vs_stego,0.045000000000000005,0.05,0.2983333333333333,0.35,15,15,15,0.2533333333333333,0.32499999999999996,0.23219962675824152,0.05995368582868316,0.117509224224219,0.8571428571428571,0.3,0.5,0.3017804310611087,0.07791937224739796,0.1527219696049,0.12844444444444444,0.0594625349004743,,,,
statistical,pre_secret_vs_secret,,,,,15,15,15,0.08166666666666668,0.075,0.1262320237084228,0.032592968372052084,0.06388221800922209,0.8461538461538461,0.08333333333333333,0.0,0.12198750911856666,0.031497039417435604,0.061734197258173786,0.04086111111111111,0.03193439341393617,0.03833333333333334,0.11666666666666667,0.12000000000000002,0.2
