image_index,method,total_loss,psnr_c,ssim_c,psnr_s,ssim_s,ber_img,ber_text,text_acc
0,original,0.012213767506182194,34.54179382324219,0.9682755470275879,29.26036834716797,0.8633065819740295,0.3560078938802083,1.0,0.0
0,lsb,0.012746325694024563,34.54585647583008,0.9682802557945251,29.06979751586914,0.8626545071601868,0.3568013509114583,1.0,0.0
0,dct,0.00860445387661457,33.958927154541016,0.9503698348999023,30.861787796020508,0.9715067744255066,0.303741455078125,0.0,1.0
0,dwt,0.008540808223187923,34.080596923828125,0.95010906457901,30.889657974243164,0.9634907245635986,0.3159077962239583,0.0,1.0
0,spread_spectrum,0.24064254760742188,31.976625442504883,0.8600216507911682,16.24973487854004,0.7434871196746826,0.4170023600260417,0.0,1.0
0,statistical,0.004931304138153791,33.78583908081055,0.9399402737617493,33.455169677734375,0.9328654408454895,0.3078715006510417,0.0,1.0
1,original,0.010000784881412983,29.02914047241211,0.9722074866294861,30.581525802612305,0.9660724997520447,0.3099873860677083,1.0,0.0
1,lsb,0.010000068694353104,29.029613494873047,0.972207248210907,30.58171844482422,0.9660305976867676,0.3105265299479167,1.0,0.0
1,dct,0.011935941874980927,29.011634826660156,0.9713538289070129,29.716278076171875,0.97055584192276,0.3162027994791667,1.0,0.0
1,dwt,0.011918934062123299,29.041603088378906,0.9717865586280823,29.719724655151367,0.9700897336006165,0.3166300455729167,1.0,0.0
1,spread_spectrum,0.22762443125247955,28.032447814941406,0.9597589373588562,16.506916046142578,0.7799848914146423,0.408935546875,0.0,1.0
1,statistical,0.010062248446047306,28.878503799438477,0.9702417850494385,30.572961807250977,0.9731901288032532,0.3079630533854167,0.0,1.0
2,original,0.00855749100446701,31.52213478088379,0.9555308818817139,31.05074119567871,0.971174418926239,0.3121439615885417,1.0,0.0
2,lsb,0.008561607450246811,31.522560119628906,0.955540657043457,31.04831886291504,0.9711750149726868,0.3122965494791667,1.0,0.0
2,dct,0.009641590528190136,31.309497833251953,0.9416329264640808,30.50672149658203,0.9808202385902405,0.314483642578125,1.0,0.0
2,dwt,0.009662353433668613,31.384443283081055,0.947333037853241,30.490392684936523,0.9789844155311584,0.3168436686197917,1.0,0.0
2,spread_spectrum,0.2783759534358978,29.37160301208496,0.84217768907547,15.631795883178711,0.7580702900886536,0.42291259765625,0.0,1.0
2,statistical,0.008427629247307777,31.215858459472656,0.9339263439178467,31.152246475219727,0.9782564043998718,0.31103515625,0.0,1.0
3,original,0.025247687473893166,22.33029556274414,0.8099405169487,27.129671096801758,0.9438536763191223,0.3499654134114583,1.0,0.0
3,lsb,0.025265604257583618,22.330291748046875,0.8099362254142761,27.12565040588379,0.9438345432281494,0.3497416178385417,1.0,0.0
3,dct,0.023592481389641762,22.301219940185547,0.8011866211891174,27.526710510253906,0.9647059440612793,0.34796142578125,0.0,1.0
3,dwt,0.023981167003512383,22.307384490966797,0.8024356365203857,27.430294036865234,0.9667404294013977,0.3472086588541667,0.0,1.0
3,spread_spectrum,0.3108814060688019,22.01420783996582,0.7160282135009766,15.229044914245605,0.7626205086708069,0.4356791178385417,0.0,1.0
3,statistical,0.023367509245872498,22.277549743652344,0.7895955443382263,27.590234756469727,0.9542545676231384,0.346343994140625,0.0,1.0
