delta,block_size,rep,label,ber_text,text_acc,method,ablation_idx,band,gain,threshold
300.0,4.0,1.0,dct_d300_rep1,0.4,0.6,dct,4,,,
400.0,4.0,1.0,dct_d400_rep1,0.6,0.4,dct,4,,,
200.0,4.0,3.0,dct_d200_rep3,0.8,0.2,dct,4,,,
300.0,8.0,1.0,dct_d300_b8_rep1,1.0,0.0,dct,4,,,
300.0,,1.0,dwt_LH_d300_rep1,0.6,0.4,dwt,4,LH,,
200.0,,3.0,dwt_LL_d200_rep3,0.8,0.2,dwt,4,LL,,
200.0,,1.0,dwt_LL_d200_rep1,1.0,0.0,dwt,4,LL,,
300.0,,1.0,dwt_LL_d300_rep1,1.0,0.0,dwt,4,LL,,
400.0,,1.0,dwt_LL_d400_rep1,1.0,0.0,dwt,4,LL,,
,,,ss_g150,0.0,1.0,spread_spectrum,4,,150.0,
,,,ss_g200,0.0,1.0,spread_spectrum,4,,200.0,
,,,ss_g300,0.0,1.0,spread_spectrum,4,,300.0,
,,,ss_g500,0.0,1.0,spread_spectrum,4,,500.0,
,,,ss_g600,0.0,1.0,spread_spectrum,4,,600.0,
,4.0,,stat_b4_t80,0.0,1.0,statistical,4,,,80.0
,4.0,,stat_b4_t120,0.0,1.0,statistical,4,,,120.0
,4.0,,stat_b4_t200,0.0,1.0,statistical,4,,,200.0
,4.0,,stat_b4_t300,0.0,1.0,statistical,4,,,300.0
,8.0,,stat_b8_t60,1.0,0.0,statistical,4,,,60.0
,8.0,,stat_b8_t120,1.0,0.0,statistical,4,,,120.0
200.0,4.0,3.0,dct_d200_rep3,0.8,0.2,dct,5,,,
300.0,4.0,1.0,dct_d300_rep1,0.8,0.2,dct,5,,,
200.0,4.0,1.0,dct_d200_rep1,1.0,0.0,dct,5,,,
300.0,8.0,1.0,dct_d300_b8_rep1,1.0,0.0,dct,5,,,
400.0,4.0,1.0,dct_d400_rep1,1.0,0.0,dct,5,,,
200.0,,1.0,dwt_LL_d200_rep1,1.0,0.0,dwt,5,LL,,
200.0,,3.0,dwt_LL_d200_rep3,1.0,0.0,dwt,5,LL,,
300.0,,1.0,dwt_LL_d300_rep1,1.0,0.0,dwt,5,LL,,
300.0,,1.0,dwt_LH_d300_rep1,1.0,0.0,dwt,5,LH,,
400.0,,1.0,dwt_LL_d400_rep1,1.0,0.0,dwt,5,LL,,
,,,ss_g150,0.0,1.0,spread_spectrum,5,,150.0,
,,,ss_g200,0.0,1.0,spread_spectrum,5,,200.0,
,,,ss_g300,0.0,1.0,spread_spectrum,5,,300.0,
,,,ss_g500,0.0,1.0,spread_spectrum,5,,500.0,
,,,ss_g600,0.0,1.0,spread_spectrum,5,,600.0,
,4.0,,stat_b4_t80,0.0,1.0,statistical,5,,,80.0
,4.0,,stat_b4_t120,0.0,1.0,statistical,5,,,120.0
,4.0,,stat_b4_t200,0.0,1.0,statistical,5,,,200.0
,4.0,,stat_b4_t300,0.0,1.0,statistical,5,,,300.0
,8.0,,stat_b8_t60,1.0,0.0,statistical,5,,,60.0
,8.0,,stat_b8_t120,1.0,0.0,statistical,5,,,120.0
200.0,4.0,1.0,dct_d200_rep1,0.4,0.6,dct,6,,,
300.0,4.0,1.0,dct_d300_rep1,0.4,0.6,dct,6,,,
400.0,4.0,1.0,dct_d400_rep1,0.6,0.4,dct,6,,,
200.0,4.0,3.0,dct_d200_rep3,0.8,0.2,dct,6,,,
300.0,8.0,1.0,dct_d300_b8_rep1,1.0,0.0,dct,6,,,
300.0,,1.0,dwt_LH_d300_rep1,0.6,0.4,dwt,6,LH,,
200.0,,3.0,dwt_LL_d200_rep3,0.8,0.2,dwt,6,LL,,
200.0,,1.0,dwt_LL_d200_rep1,1.0,0.0,dwt,6,LL,,
