ablation_idx,BETA,ALPHA,LEARNING_RATE,START_NOISE_EP,RS_BYTES,final_val_loss,final_val_psnr,final_val_ssim,holdout_psnr_cover,holdout_ssim_cover,holdout_text_acc,holdout_ber_text,composite_rank_score
3,3.0,3.0,0.001,25,8,0.0271373596042394,29.149133682250977,0.8931657671928406,29.624985898547703,0.9461955273946127,0.48533333333333334,0.49184009641137155,2.142857142857143
4,5.0,1.0,0.0005,5,8,0.0419413484632968,20.17243385314941,0.9244961738586426,20.9707297656801,0.7710589599708716,0.5549333333333333,0.4180962078477365,3.5714285714285716
5,3.0,2.0,0.0005,5,8,0.0333332493901252,26.753889083862305,0.8724889755249023,27.370098496754963,0.9175162789920965,0.42946666666666666,0.5485669196479761,3.857142857142857
1,3.0,2.0,0.001,25,8,0.0478926785290241,23.21345329284668,0.8844754099845886,23.73702008152008,0.925677191644907,0.4338666666666667,0.5388222874383671,4.0
2,3.0,2.0,0.001,5,8,0.0365233607590198,23.216819763183597,0.9127747416496276,23.702419083595277,0.9242391748759482,0.4129333333333333,0.5612504105955247,4.0
6,5.0,1.0,0.0005,5,4,0.0505383424460887,20.26543235778809,0.910072386264801,21.2457003970676,0.7851662477271424,0.5090666666666667,0.4905625,4.142857142857143
0,8.0,1.0,0.001,999,4,0.0934181809425354,11.69225788116455,0.9228383898735046,11.798244193553925,0.19713149223228293,0.0776,0.9224,6.285714285714286
