method,pair_name,role,image_dir,requested_dev,used_cpu,return_code,elapsed_sec,n_images_parsed,mean_image_score,max_image_score,mean_flagged_ratio,mean_confidence,error_summary,stdout_log,stderr_log
dct,cover_vs_stego,cover,data/baseline/3/results_raw/dct/cover,0,False,0,838.4020113945007,15,0.045000000000000005,1.6,0.05,0.5044444444444445,,data/baseline/3/aletheia_outputs/logs/dct_cover_vs_stego_cover_stdout.txt,data/baseline/3/aletheia_outputs/logs/dct_cover_vs_stego_cover_stderr.txt
dct,cover_vs_stego,stego,data/baseline/3/results_raw/dct/stego,0,False,0,840.1029295921326,15,0.44333333333333336,1.0,0.5166666666666667,0.5,,data/baseline/3/aletheia_outputs/logs/dct_cover_vs_stego_stego_stdout.txt,data/baseline/3/aletheia_outputs/logs/dct_cover_vs_stego_stego_stderr.txt
dct,pre_secret_vs_secret,pre_secret,data/baseline/3/results_raw/dct/pre_secret,0,False,0,838.6557774543762,15,0.03833333333333334,0.5,0.11666666666666667,0.5022222222222222,,data/baseline/3/aletheia_outputs/logs/dct_pre_secret_vs_secret_pre_secret_stdout.txt,data/baseline/3/aletheia_outputs/logs/dct_pre_secret_vs_secret_pre_secret_stderr.txt
dct,pre_secret_vs_secret,secret,data/baseline/3/results_raw/dct/secret,0,False,0,841.4901833534241,15,1.2683333333333335,13.0,0.25,0.5,,data/baseline/3/aletheia_outputs/logs/dct_pre_secret_vs_secret_secret_stdout.txt,data/baseline/3/aletheia_outputs/logs/dct_pre_secret_vs_secret_secret_stderr.txt
dwt,cover_vs_stego,cover,data/baseline/3/results_raw/dwt/cover,0,False,0,836.6100189685822,15,0.045000000000000005,1.6,0.05,0.508888888888889,,data/baseline/3/aletheia_outputs/logs/dwt_cover_vs_stego_cover_stdout.txt,data/baseline/3/aletheia_outputs/logs/dwt_cover_vs_stego_cover_stderr.txt
dwt,cover_vs_stego,stego,data/baseline/3/results_raw/dwt/stego,0,False,0,837.0977337360382,15,0.43333333333333335,1.0,0.5166666666666667,0.5022222222222222,,data/baseline/3/aletheia_outputs/logs/dwt_cover_vs_stego_stego_stdout.txt,data/baseline/3/aletheia_outputs/logs/dwt_cover_vs_stego_stego_stderr.txt
dwt,pre_secret_vs_secret,pre_secret,data/baseline/3/results_raw/dwt/pre_secret,0,False,0,843.9515266418457,15,0.03833333333333334,0.5,0.11666666666666667,0.5111111111111112,,data/baseline/3/aletheia_outputs/logs/dwt_pre_secret_vs_secret_pre_secret_stdout.txt,data/baseline/3/aletheia_outputs/logs/dwt_pre_secret_vs_secret_pre_secret_stderr.txt
dwt,pre_secret_vs_secret,secret,data/baseline/3/results_raw/dwt/secret,0,False,0,834.7936868667603,15,0.18000000000000002,1.8,0.23333333333333334,0.5,,data/baseline/3/aletheia_outputs/logs/dwt_pre_secret_vs_secret_secret_stdout.txt,data/baseline/3/aletheia_outputs/logs/dwt_pre_secret_vs_secret_secret_stderr.txt
lsb,cover_vs_stego,cover,data/baseline/3/results_raw/lsb/cover,0,False,0,836.2058775424957,15,0.045000000000000005,1.6,0.05,0.5044444444444445,,data/baseline/3/aletheia_outputs/logs/lsb_cover_vs_stego_cover_stdout.txt,data/baseline/3/aletheia_outputs/logs/lsb_cover_vs_stego_cover_stderr.txt
lsb,cover_vs_stego,stego,data/baseline/3/results_raw/lsb/stego,0,False,0,843.2195856571198,15,0.3700000000000001,1.0,0.4166666666666667,0.5066666666666666,,data/baseline/3/aletheia_outputs/logs/lsb_cover_vs_stego_stego_stdout.txt,data/baseline/3/aletheia_outputs/logs/lsb_cover_vs_stego_stego_stderr.txt
lsb,pre_secret_vs_secret,pre_secret,data/baseline/3/results_raw/lsb/pre_secret,0,False,0,840.1924040317535,15,0.03833333333333334,0.5,0.11666666666666667,0.5044444444444445,,data/baseline/3/aletheia_outputs/logs/lsb_pre_secret_vs_secret_pre_secret_stdout.txt,data/baseline/3/aletheia_outputs/logs/lsb_pre_secret_vs_secret_pre_secret_stderr.txt
lsb,pre_secret_vs_secret,secret,data/baseline/3/results_raw/lsb/secret,0,False,0,814.2915477752686,15,0.03833333333333334,0.5,0.11666666666666667,0.5111111111111111,,data/baseline/3/aletheia_outputs/logs/lsb_pre_secret_vs_secret_secret_stdout.txt,data/baseline/3/aletheia_outputs/logs/lsb_pre_secret_vs_secret_secret_stderr.txt
original,cover_vs_stego,cover,data/baseline/3/results_raw/original/cover,0,False,0,780.7952945232391,15,0.045000000000000005,1.6,0.05,0.5088888888888888,,data/baseline/3/aletheia_outputs/logs/original_cover_vs_stego_cover_stdout.txt,data/baseline/3/aletheia_outputs/logs/original_cover_vs_stego_cover_stderr.txt
original,cover_vs_stego,stego,data/baseline/3/results_raw/original/stego,0,False,0,796.9995303153992,15,0.37000000000000005,1.0,0.4166666666666667,0.5133333333333333,,data/baseline/3/aletheia_outputs/logs/original_cover_vs_stego_stego_stdout.txt,data/baseline/3/aletheia_outputs/logs/original_cover_vs_stego_stego_stderr.txt
original,pre_secret_vs_secret,pre_secret,data/baseline/3/results_raw/original/pre_secret,0,False,0,781.8628270626068,15,0.03833333333333334,0.5,0.11666666666666667,0.5088888888888888,,data/baseline/3/aletheia_outputs/logs/original_pre_secret_vs_secret_pre_secret_stdout.txt,data/baseline/3/aletheia_outputs/logs/original_pre_secret_vs_secret_pre_secret_stderr.txt
original,pre_secret_vs_secret,secret,data/baseline/3/results_raw/original/secret,0,False,0,846.3141689300537,15,0.03833333333333334,0.5,0.11666666666666667,0.5044444444444445,,data/baseline/3/aletheia_outputs/logs/original_pre_secret_vs_secret_secret_stdout.txt,data/baseline/3/aletheia_outputs/logs/original_pre_secret_vs_secret_secret_stderr.txt
spread_spectrum,cover_vs_stego,cover,data/baseline/3/results_raw/spread_spectrum/cover,0,False,0,858.0581758022308,15,0.045000000000000005,1.6,0.05,0.5044444444444445,,data/baseline/3/aletheia_outputs/logs/spread_spectrum_cover_vs_stego_cover_stdout.txt,data/baseline/3/aletheia_outputs/logs/spread_spectrum_cover_vs_stego_cover_stderr.txt
spread_spectrum,cover_vs_stego,stego,data/baseline/3/results_raw/spread_spectrum/stego,0,False,0,844.6600861549377,15,0.05333333333333334,0.6,0.06666666666666667,0.5,,data/baseline/3/aletheia_outputs/logs/spread_spectrum_cover_vs_stego_stego_stdout.txt,data/baseline/3/aletheia_outputs/logs/spread_spectrum_cover_vs_stego_stego_stderr.txt
spread_spectrum,pre_secret_vs_secret,pre_secret,data/baseline/3/results_raw/spread_spectrum/pre_secret,0,False,0,841.2242841720581,15,0.03833333333333334,0.5,0.11666666666666667,0.5044444444444445,,data/baseline/3/aletheia_outputs/logs/spread_spectrum_pre_secret_vs_secret_pre_secret_stdout.txt,data/baseline/3/aletheia_outputs/logs/spread_spectrum_pre_secret_vs_secret_pre_secret_stderr.txt
spread_spectrum,pre_secret_vs_secret,secret,data/baseline/3/results_raw/spread_spectrum/secret,0,False,0,844.2774174213409,15,6.016666666666666,28.3,0.25,0.5,,data/baseline/3/aletheia_outputs/logs/spread_spectrum_pre_secret_vs_secret_secret_stdout.txt,data/baseline/3/aletheia_outputs/logs/spread_spectrum_pre_secret_vs_secret_secret_stderr.txt
statistical,cover_vs_stego,cover,data/baseline/3/results_raw/statistical/cover,0,False,0,837.6129353046417,15,0.045000000000000005,1.6,0.05,0.5066666666666666,,data/baseline/3/aletheia_outputs/logs/statistical_cover_vs_stego_cover_stdout.txt,data/baseline/3/aletheia_outputs/logs/statistical_cover_vs_stego_cover_stderr.txt
statistical,cover_vs_stego,stego,data/baseline/3/results_raw/statistical/stego,0,False,0,837.6227462291718,15,0.39499999999999996,1.0,0.43333333333333335,0.5066666666666666,,data/baseline/3/aletheia_outputs/logs/statistical_cover_vs_stego_stego_stdout.txt,data/baseline/3/aletheia_outputs/logs/statistical_cover_vs_stego_stego_stderr.txt
statistical,pre_secret_vs_secret,pre_secret,data/baseline/3/results_raw/statistical/pre_secret,0,False,0,808.2497706413269,15,0.03833333333333334,0.5,0.11666666666666667,0.5022222222222222,,data/baseline/3/aletheia_outputs/logs/statistical_pre_secret_vs_secret_pre_secret_stdout.txt,data/baseline/3/aletheia_outputs/logs/statistical_pre_secret_vs_secret_pre_secret_stderr.txt
statistical,pre_secret_vs_secret,secret,data/baseline/3/results_raw/statistical/secret,0,False,0,782.1768572330475,15,0.11166666666666665,2.0,0.2,0.5022222222222222,,data/baseline/3/aletheia_outputs/logs/statistical_pre_secret_vs_secret_secret_stdout.txt,data/baseline/3/aletheia_outputs/logs/statistical_pre_secret_vs_secret_secret_stderr.txt
