method,pair_name,image_name,tool,role_a,role_b,role_a_path,role_b_path,return_code,elapsed_sec,stdout_log,stderr_log
dct,cover_vs_stego,00099.png,print-diffs,cover,stego,data/baseline/3/results_raw/dct/cover/00099.png,data/baseline/3/results_raw/dct/stego/00099.png,0,0.9423317909240723,data/baseline/3/aletheia_outputs/logs/dct_cover_vs_stego_00099_print-diffs_stdout.txt,data/baseline/3/aletheia_outputs/logs/dct_cover_vs_stego_00099_print-diffs_stderr.txt
dct,cover_vs_stego,00199.png,print-diffs,cover,stego,data/baseline/3/results_raw/dct/cover/00199.png,data/baseline/3/results_raw/dct/stego/00199.png,0,0.922842264175415,data/baseline/3/aletheia_outputs/logs/dct_cover_vs_stego_00199_print-diffs_stdout.txt,data/baseline/3/aletheia_outputs/logs/dct_cover_vs_stego_00199_print-diffs_stderr.txt
dct,cover_vs_stego,00299.png,print-diffs,cover,stego,data/baseline/3/results_raw/dct/cover/00299.png,data/baseline/3/results_raw/dct/stego/00299.png,0,0.9115557670593262,data/baseline/3/aletheia_outputs/logs/dct_cover_vs_stego_00299_print-diffs_stdout.txt,data/baseline/3/aletheia_outputs/logs/dct_cover_vs_stego_00299_print-diffs_stderr.txt
dct,cover_vs_stego,00399.png,print-diffs,cover,stego,data/baseline/3/results_raw/dct/cover/00399.png,data/baseline/3/results_raw/dct/stego/00399.png,0,0.9898326396942139,data/baseline/3/aletheia_outputs/logs/dct_cover_vs_stego_00399_print-diffs_stdout.txt,data/baseline/3/aletheia_outputs/logs/dct_cover_vs_stego_00399_print-diffs_stderr.txt
dct,cover_vs_stego,00499.png,print-diffs,cover,stego,data/baseline/3/results_raw/dct/cover/00499.png,data/baseline/3/results_raw/dct/stego/00499.png,0,0.9289255142211914,data/baseline/3/aletheia_outputs/logs/dct_cover_vs_stego_00499_print-diffs_stdout.txt,data/baseline/3/aletheia_outputs/logs/dct_cover_vs_stego_00499_print-diffs_stderr.txt
dct,cover_vs_stego,00599.png,print-diffs,cover,stego,data/baseline/3/results_raw/dct/cover/00599.png,data/baseline/3/results_raw/dct/stego/00599.png,0,0.9600207805633545,data/baseline/3/aletheia_outputs/logs/dct_cover_vs_stego_00599_print-diffs_stdout.txt,data/baseline/3/aletheia_outputs/logs/dct_cover_vs_stego_00599_print-diffs_stderr.txt
dct,cover_vs_stego,00699.png,print-diffs,cover,stego,data/baseline/3/results_raw/dct/cover/00699.png,data/baseline/3/results_raw/dct/stego/00699.png,0,0.947437047958374,data/baseline/3/aletheia_outputs/logs/dct_cover_vs_stego_00699_print-diffs_stdout.txt,data/baseline/3/aletheia_outputs/logs/dct_cover_vs_stego_00699_print-diffs_stderr.txt
dct,cover_vs_stego,00799.png,print-diffs,cover,stego,data/baseline/3/results_raw/dct/cover/00799.png,data/baseline/3/results_raw/dct/stego/00799.png,0,0.9162356853485107,data/baseline/3/aletheia_outputs/logs/dct_cover_vs_stego_00799_print-diffs_stdout.txt,data/baseline/3/aletheia_outputs/logs/dct_cover_vs_stego_00799_print-diffs_stderr.txt
dct,cover_vs_stego,00899.png,print-diffs,cover,stego,data/baseline/3/results_raw/dct/cover/00899.png,data/baseline/3/results_raw/dct/stego/00899.png,0,0.8911070823669434,data/baseline/3/aletheia_outputs/logs/dct_cover_vs_stego_00899_print-diffs_stdout.txt,data/baseline/3/aletheia_outputs/logs/dct_cover_vs_stego_00899_print-diffs_stderr.txt
dct,cover_vs_stego,00999.png,print-diffs,cover,stego,data/baseline/3/results_raw/dct/cover/00999.png,data/baseline/3/results_raw/dct/stego/00999.png,0,0.9076907634735107,data/baseline/3/aletheia_outputs/logs/dct_cover_vs_stego_00999_print-diffs_stdout.txt,data/baseline/3/aletheia_outputs/logs/dct_cover_vs_stego_00999_print-diffs_stderr.txt
dct,cover_vs_stego,01099.png,print-diffs,cover,stego,data/baseline/3/results_raw/dct/cover/01099.png,data/baseline/3/results_raw/dct/stego/01099.png,0,0.8597621917724609,data/baseline/3/aletheia_outputs/logs/dct_cover_vs_stego_01099_print-diffs_stdout.txt,data/baseline/3/aletheia_outputs/logs/dct_cover_vs_stego_01099_print-diffs_stderr.txt
dct,cover_vs_stego,01199.png,print-diffs,cover,stego,data/baseline/3/results_raw/dct/cover/01199.png,data/baseline/3/results_raw/dct/stego/01199.png,0,0.8939311504364014,data/baseline/3/aletheia_outputs/logs/dct_cover_vs_stego_01199_print-diffs_stdout.txt,data/baseline/3/aletheia_outputs/logs/dct_cover_vs_stego_01199_print-diffs_stderr.txt
dct,cover_vs_stego,01299.png,print-diffs,cover,stego,data/baseline/3/results_raw/dct/cover/01299.png,data/baseline/3/results_raw/dct/stego/01299.png,0,0.8715658187866211,data/baseline/3/aletheia_outputs/logs/dct_cover_vs_stego_01299_print-diffs_stdout.txt,data/baseline/3/aletheia_outputs/logs/dct_cover_vs_stego_01299_print-diffs_stderr.txt
dct,cover_vs_stego,01399.png,print-diffs,cover,stego,data/baseline/3/results_raw/dct/cover/01399.png,data/baseline/3/results_raw/dct/stego/01399.png,0,0.9053640365600586,data/baseline/3/aletheia_outputs/logs/dct_cover_vs_stego_01399_print-diffs_stdout.txt,data/baseline/3/aletheia_outputs/logs/dct_cover_vs_stego_01399_print-diffs_stderr.txt
dct,cover_vs_stego,01499.png,print-diffs,cover,stego,data/baseline/3/results_raw/dct/cover/01499.png,data/baseline/3/results_raw/dct/stego/01499.png,0,0.8978705406188965,data/baseline/3/aletheia_outputs/logs/dct_cover_vs_stego_01499_print-diffs_stdout.txt,data/baseline/3/aletheia_outputs/logs/dct_cover_vs_stego_01499_print-diffs_stderr.txt
dct,pre_secret_vs_secret,00099.png,print-diffs,pre_secret,secret,data/baseline/3/results_raw/dct/pre_secret/00099.png,data/baseline/3/results_raw/dct/secret/00099.png,0,0.9613683223724365,data/baseline/3/aletheia_outputs/logs/dct_pre_secret_vs_secret_00099_print-diffs_stdout.txt,data/baseline/3/aletheia_outputs/logs/dct_pre_secret_vs_secret_00099_print-diffs_stderr.txt
dct,pre_secret_vs_secret,00199.png,print-diffs,pre_secret,secret,data/baseline/3/results_raw/dct/pre_secret/00199.png,data/baseline/3/results_raw/dct/secret/00199.png,0,0.9384250640869141,data/baseline/3/aletheia_outputs/logs/dct_pre_secret_vs_secret_00199_print-diffs_stdout.txt,data/baseline/3/aletheia_outputs/logs/dct_pre_secret_vs_secret_00199_print-diffs_stderr.txt
dct,pre_secret_vs_secret,00299.png,print-diffs,pre_secret,secret,data/baseline/3/results_raw/dct/pre_secret/00299.png,data/baseline/3/results_raw/dct/secret/00299.png,0,0.8912234306335449,data/baseline/3/aletheia_outputs/logs/dct_pre_secret_vs_secret_00299_print-diffs_stdout.txt,data/baseline/3/aletheia_outputs/logs/dct_pre_secret_vs_secret_00299_print-diffs_stderr.txt
dct,pre_secret_vs_secret,00399.png,print-diffs,pre_secret,secret,data/baseline/3/results_raw/dct/pre_secret/00399.png,data/baseline/3/results_raw/dct/secret/00399.png,0,1.0384812355041504,data/baseline/3/aletheia_outputs/logs/dct_pre_secret_vs_secret_00399_print-diffs_stdout.txt,data/baseline/3/aletheia_outputs/logs/dct_pre_secret_vs_secret_00399_print-diffs_stderr.txt
dct,pre_secret_vs_secret,00499.png,print-diffs,pre_secret,secret,data/baseline/3/results_raw/dct/pre_secret/00499.png,data/baseline/3/results_raw/dct/secret/00499.png,0,0.9555704593658447,data/baseline/3/aletheia_outputs/logs/dct_pre_secret_vs_secret_00499_print-diffs_stdout.txt,data/baseline/3/aletheia_outputs/logs/dct_pre_secret_vs_secret_00499_print-diffs_stderr.txt
dct,pre_secret_vs_secret,00599.png,print-diffs,pre_secret,secret,data/baseline/3/results_raw/dct/pre_secret/00599.png,data/baseline/3/results_raw/dct/secret/00599.png,0,0.8914899826049805,data/baseline/3/aletheia_outputs/logs/dct_pre_secret_vs_secret_00599_print-diffs_stdout.txt,data/baseline/3/aletheia_outputs/logs/dct_pre_secret_vs_secret_00599_print-diffs_stderr.txt
dct,pre_secret_vs_secret,00699.png,print-diffs,pre_secret,secret,data/baseline/3/results_raw/dct/pre_secret/00699.png,data/baseline/3/results_raw/dct/secret/00699.png,0,0.9855148792266846,data/baseline/3/aletheia_outputs/logs/dct_pre_secret_vs_secret_00699_print-diffs_stdout.txt,data/baseline/3/aletheia_outputs/logs/dct_pre_secret_vs_secret_00699_print-diffs_stderr.txt
