method,pair_name,role_a,role_b,image_name,cover_mean_score,stego_mean_score,cover_max_score,stego_max_score,cover_flagged_ratio,stego_flagged_ratio,cover_mean_conf,stego_mean_conf,score_delta,max_score_delta,flagged_ratio_delta,confidence_delta,pair_mean_conf,score_delta_conf_weighted,pre_secret_mean_score,secret_mean_score,pre_secret_max_score,secret_max_score,pre_secret_flagged_ratio,secret_flagged_ratio,pre_secret_mean_conf,secret_mean_conf
dct,cover_vs_stego,cover,stego,00099.png,0.0,0.375,0.0,1.0,0.0,0.25,0.5,0.5,0.375,1.0,0.25,0.0,0.5,0.1875,,,,,,,,
dct,cover_vs_stego,cover,stego,00199.png,0.1,0.42500000000000004,0.4,1.0,0.25,0.75,0.5,0.5,0.32500000000000007,0.6,0.5,0.0,0.5,0.16250000000000003,,,,,,,,
dct,cover_vs_stego,cover,stego,00299.png,0.0,0.5,0.0,1.0,0.0,0.75,0.5,0.5,0.5,1.0,0.75,0.0,0.5,0.25,,,,,,,,
dct,cover_vs_stego,cover,stego,00399.png,0.0,0.225,0.0,0.5,0.0,0.25,0.5,0.5,0.225,0.5,0.25,0.0,0.5,0.1125,,,,,,,,
dct,cover_vs_stego,cover,stego,00499.png,0.0,0.6,0.0,1.0,0.0,0.75,0.5,0.5,0.6,1.0,0.75,0.0,0.5,0.3,,,,,,,,
dct,cover_vs_stego,cover,stego,00599.png,0.0,0.525,0.0,1.0,0.0,0.75,0.5,0.5,0.525,1.0,0.75,0.0,0.5,0.2625,,,,,,,,
dct,cover_vs_stego,cover,stego,00699.png,0.0,0.5,0.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.25,,,,,,,,
dct,cover_vs_stego,cover,stego,00799.png,0.15000000000000002,0.5,0.2,1.0,0.25,0.5,0.5,0.5,0.35,0.8,0.25,0.0,0.5,0.175,,,,,,,,
dct,cover_vs_stego,cover,stego,00899.png,0.0,0.525,0.0,1.0,0.0,0.75,0.5,0.5,0.525,1.0,0.75,0.0,0.5,0.2625,,,,,,,,
dct,cover_vs_stego,cover,stego,00999.png,0.0,0.5,0.0,1.0,0.0,0.5,0.5666666666666668,0.5,0.5,1.0,0.5,-0.06666666666666676,0.5333333333333334,0.2666666666666667,,,,,,,,
dct,cover_vs_stego,cover,stego,01099.png,0.025,0.275,0.1,1.0,0.0,0.25,0.5,0.5,0.25,0.9,0.25,0.0,0.5,0.125,,,,,,,,
dct,cover_vs_stego,cover,stego,01199.png,0.0,0.475,0.0,1.0,0.0,0.5,0.5,0.5,0.475,1.0,0.5,0.0,0.5,0.2375,,,,,,,,
dct,cover_vs_stego,cover,stego,01299.png,0.4,0.325,1.6,1.0,0.25,0.25,0.5,0.5,-0.07500000000000001,-0.6000000000000001,0.0,0.0,0.5,-0.037500000000000006,,,,,,,,
dct,cover_vs_stego,cover,stego,01399.png,0.0,0.5,0.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.25,,,,,,,,
dct,cover_vs_stego,cover,stego,01499.png,0.0,0.4,0.0,1.0,0.0,0.5,0.5,0.5,0.4,1.0,0.5,0.0,0.5,0.2,,,,,,,,
dct,pre_secret_vs_secret,pre_secret,secret,00099.png,,,,,,,,,0.85,3.3,0.25,-0.033333333333333326,0.5166666666666666,0.4391666666666666,0.025,0.875,0.1,3.4,0.0,0.25,0.5333333333333333,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00199.png,,,,,,,,,0.275,1.0,0.25,0.0,0.5,0.1375,0.0,0.275,0.0,1.0,0.0,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00299.png,,,,,,,,,0.35000000000000003,1.3,0.25,0.0,0.5,0.17500000000000002,0.0,0.35000000000000003,0.0,1.3,0.0,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00399.png,,,,,,,,,2.7249999999999996,10.799999999999999,0.0,0.0,0.5,1.3624999999999998,0.075,2.8,0.3,11.1,0.25,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00499.png,,,,,,,,,0.55,2.1,0.25,0.0,0.5,0.275,0.0,0.55,0.0,2.1,0.0,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00599.png,,,,,,,,,0.25,0.8,0.25,0.0,0.5,0.125,0.0,0.25,0.0,0.8,0.0,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00699.png,,,,,,,,,3.175,12.6,0.0,0.0,0.5,1.5875,0.1,3.275,0.4,13.0,0.25,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00799.png,,,,,,,,,2.625,10.4,0.25,0.0,0.5,1.3125,0.0,2.625,0.0,10.4,0.0,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00899.png,,,,,,,,,0.9,3.5,0.25,0.0,0.5,0.45,0.025,0.925,0.1,3.6,0.0,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00999.png,,,,,,,,,2.1,8.6,0.0,0.0,0.5,1.05,0.175,2.275,0.5,9.1,0.25,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,01099.png,,,,,,,,,1.425,5.6000000000000005,0.0,0.0,0.5,0.7125,0.025,1.45,0.1,5.7,0.25,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,01199.png,,,,,,,,,0.65,2.5,0.25,0.0,0.5,0.325,0.0,0.65,0.0,2.5,0.0,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,01299.png,,,,,,,,,0.75,2.9,0.0,0.0,0.5,0.375,0.05,0.8,0.2,3.1,0.25,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,01399.png,,,,,,,,,0.42500000000000004,1.6,0.0,0.0,0.5,0.21250000000000002,0.05,0.47500000000000003,0.2,1.8,0.25,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,01499.png,,,,,,,,,1.4,5.5,0.0,0.0,0.5,0.7,0.05,1.45,0.2,5.7,0.25,0.25,0.5,0.5
dwt,cover_vs_stego,cover,stego,00099.png,0.0,0.4,0.0,1.0,0.0,0.5,0.5,0.5333333333333333,0.4,1.0,0.5,0.033333333333333326,0.5166666666666666,0.20666666666666667,,,,,,,,
dwt,cover_vs_stego,cover,stego,00199.png,0.1,0.5,0.4,1.0,0.25,0.75,0.5,0.5,0.4,0.6,0.5,0.0,0.5,0.2,,,,,,,,
dwt,cover_vs_stego,cover,stego,00299.png,0.0,0.45,0.0,1.0,0.0,0.5,0.5,0.5,0.45,1.0,0.5,0.0,0.5,0.225,,,,,,,,
dwt,cover_vs_stego,cover,stego,00399.png,0.0,0.15,0.0,0.3,0.0,0.25,0.5,0.5,0.15,0.3,0.25,0.0,0.5,0.075,,,,,,,,
dwt,cover_vs_stego,cover,stego,00499.png,0.0,0.5,0.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.25,,,,,,,,
dwt,cover_vs_stego,cover,stego,00599.png,0.0,0.55,0.0,1.0,0.0,0.75,0.5,0.5,0.55,1.0,0.75,0.0,0.5,0.275,,,,,,,,
dwt,cover_vs_stego,cover,stego,00699.png,0.0,0.5,0.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.25,,,,,,,,
dwt,cover_vs_stego,cover,stego,00799.png,0.15000000000000002,0.35,0.2,1.0,0.25,0.25,0.5,0.5,0.19999999999999996,0.8,0.0,0.0,0.5,0.09999999999999998,,,,,,,,
dwt,cover_vs_stego,cover,stego,00899.png,0.0,0.4,0.0,1.0,0.0,0.5,0.5,0.5,0.4,1.0,0.5,0.0,0.5,0.2,,,,,,,,
dwt,cover_vs_stego,cover,stego,00999.png,0.0,0.55,0.0,1.0,0.0,0.75,0.6333333333333334,0.5,0.55,1.0,0.75,-0.13333333333333341,0.5666666666666667,0.3116666666666667,,,,,,,,
dwt,cover_vs_stego,cover,stego,01099.png,0.025,0.375,0.1,1.0,0.0,0.5,0.5,0.5,0.35,0.9,0.5,0.0,0.5,0.175,,,,,,,,
dwt,cover_vs_stego,cover,stego,01199.png,0.0,0.475,0.0,1.0,0.0,0.5,0.5,0.5,0.475,1.0,0.5,0.0,0.5,0.2375,,,,,,,,
dwt,cover_vs_stego,cover,stego,01299.png,0.4,0.27499999999999997,1.6,0.7,0.25,0.5,0.5,0.5,-0.12500000000000006,-0.9000000000000001,0.25,0.0,0.5,-0.06250000000000003,,,,,,,,
dwt,cover_vs_stego,cover,stego,01399.png,0.0,0.5,0.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.25,,,,,,,,
dwt,cover_vs_stego,cover,stego,01499.png,0.0,0.5249999999999999,0.0,1.0,0.0,0.5,0.5,0.5,0.5249999999999999,1.0,0.5,0.0,0.5,0.26249999999999996,,,,,,,,
dwt,pre_secret_vs_secret,pre_secret,secret,00099.png,,,,,,,,,0.35,0.9,0.25,0.0,0.5,0.175,0.025,0.375,0.1,1.0,0.0,0.25,0.5,0.5
dwt,pre_secret_vs_secret,pre_secret,secret,00199.png,,,,,,,,,0.05,0.2,0.0,0.0,0.5,0.025,0.0,0.05,0.0,0.2,0.0,0.0,0.5,0.5
dwt,pre_secret_vs_secret,pre_secret,secret,00299.png,,,,,,,,,0.125,0.3,0.25,0.0,0.5,0.0625,0.0,0.125,0.0,0.3,0.0,0.25,0.5,0.5
dwt,pre_secret_vs_secret,pre_secret,secret,00399.png,,,,,,,,,0.09999999999999999,0.10000000000000003,0.0,0.0,0.5,0.049999999999999996,0.075,0.175,0.3,0.4,0.25,0.25,0.5,0.5
dwt,pre_secret_vs_secret,pre_secret,secret,00499.png,,,,,,,,,0.15,0.5,0.25,0.0,0.5,0.075,0.0,0.15,0.0,0.5,0.0,0.25,0.5,0.5
dwt,pre_secret_vs_secret,pre_secret,secret,00599.png,,,,,,,,,0.125,0.5,0.25,-0.09999999999999998,0.55,0.06875,0.0,0.125,0.0,0.5,0.0,0.25,0.6,0.5
dwt,pre_secret_vs_secret,pre_secret,secret,00699.png,,,,,,,,,0.35,1.4,0.0,0.0,0.5,0.175,0.1,0.45,0.4,1.8,0.25,0.25,0.5,0.5
dwt,pre_secret_vs_secret,pre_secret,secret,00799.png,,,,,,,,,0.22499999999999998,0.5,0.25,-0.06666666666666676,0.5333333333333334,0.12000000000000001,0.0,0.22499999999999998,0.0,0.5,0.0,0.25,0.5666666666666668,0.5
dwt,pre_secret_vs_secret,pre_secret,secret,00899.png,,,,,,,,,0.125,0.5,0.25,0.0,0.5,0.0625,0.025,0.15,0.1,0.6,0.0,0.25,0.5,0.5
dwt,pre_secret_vs_secret,pre_secret,secret,00999.png,,,,,,,,,0.12500000000000006,0.6000000000000001,0.0,0.0,0.5,0.06250000000000003,0.175,0.30000000000000004,0.5,1.1,0.25,0.25,0.5,0.5
dwt,pre_secret_vs_secret,pre_secret,secret,01099.png,,,,,,,,,0.07500000000000001,0.30000000000000004,0.0,0.0,0.5,0.037500000000000006,0.025,0.1,0.1,0.4,0.25,0.25,0.5,0.5
dwt,pre_secret_vs_secret,pre_secret,secret,01199.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
dwt,pre_secret_vs_secret,pre_secret,secret,01299.png,,,,,,,,,0.15000000000000002,0.3,0.25,0.0,0.5,0.07500000000000001,0.05,0.2,0.2,0.5,0.25,0.5,0.5,0.5
dwt,pre_secret_vs_secret,pre_secret,secret,01399.png,,,,,,,,,0.05,0.2,0.0,0.0,0.5,0.025,0.05,0.1,0.2,0.4,0.25,0.25,0.5,0.5
dwt,pre_secret_vs_secret,pre_secret,secret,01499.png,,,,,,,,,0.12499999999999999,0.49999999999999994,0.0,0.0,0.5,0.06249999999999999,0.05,0.175,0.2,0.7,0.25,0.25,0.5,0.5
lsb,cover_vs_stego,cover,stego,00099.png,0.0,0.5,0.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.25,,,,,,,,
lsb,cover_vs_stego,cover,stego,00199.png,0.1,0.19999999999999998,0.4,0.7,0.25,0.25,0.5,0.5,0.09999999999999998,0.29999999999999993,0.0,0.0,0.5,0.04999999999999999,,,,,,,,
lsb,cover_vs_stego,cover,stego,00299.png,0.0,0.125,0.0,0.3,0.0,0.0,0.5,0.5,0.125,0.3,0.0,0.0,0.5,0.0625,,,,,,,,
lsb,cover_vs_stego,cover,stego,00399.png,0.0,0.07500000000000001,0.0,0.2,0.0,0.25,0.5,0.5,0.07500000000000001,0.2,0.25,0.0,0.5,0.037500000000000006,,,,,,,,
lsb,cover_vs_stego,cover,stego,00499.png,0.0,0.55,0.0,1.0,0.0,0.75,0.5,0.5,0.55,1.0,0.75,0.0,0.5,0.275,,,,,,,,
lsb,cover_vs_stego,cover,stego,00599.png,0.0,0.3,0.0,0.7,0.0,0.25,0.5,0.5,0.3,0.7,0.25,0.0,0.5,0.15,,,,,,,,
lsb,cover_vs_stego,cover,stego,00699.png,0.0,0.5,0.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.25,,,,,,,,
lsb,cover_vs_stego,cover,stego,00799.png,0.15000000000000002,0.125,0.2,0.3,0.25,0.0,0.5,0.5333333333333333,-0.025000000000000022,0.09999999999999998,-0.25,0.033333333333333326,0.5166666666666666,-0.012916666666666677,,,,,,,,
lsb,cover_vs_stego,cover,stego,00899.png,0.0,0.5,0.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.25,,,,,,,,
lsb,cover_vs_stego,cover,stego,00999.png,0.0,0.45,0.0,1.0,0.0,0.5,0.5666666666666668,0.5333333333333333,0.45,1.0,0.5,-0.03333333333333344,0.55,0.24750000000000003,,,,,,,,
lsb,cover_vs_stego,cover,stego,01099.png,0.025,0.475,0.1,1.0,0.0,0.5,0.5,0.5,0.44999999999999996,0.9,0.5,0.0,0.5,0.22499999999999998,,,,,,,,
lsb,cover_vs_stego,cover,stego,01199.png,0.0,0.5,0.0,1.0,0.0,0.5,0.5,0.5333333333333333,0.5,1.0,0.5,0.033333333333333326,0.5166666666666666,0.2583333333333333,,,,,,,,
lsb,cover_vs_stego,cover,stego,01299.png,0.4,0.4,1.6,0.9,0.25,0.5,0.5,0.5,0.0,-0.7000000000000001,0.25,0.0,0.5,0.0,,,,,,,,
lsb,cover_vs_stego,cover,stego,01399.png,0.0,0.525,0.0,1.0,0.0,0.75,0.5,0.5,0.525,1.0,0.75,0.0,0.5,0.2625,,,,,,,,
lsb,cover_vs_stego,cover,stego,01499.png,0.0,0.325,0.0,0.5,0.0,0.5,0.5,0.5,0.325,0.5,0.5,0.0,0.5,0.1625,,,,,,,,
lsb,pre_secret_vs_secret,pre_secret,secret,00099.png,,,,,,,,,0.0,0.0,0.0,0.033333333333333326,0.5166666666666666,0.0,0.025,0.025,0.1,0.1,0.0,0.0,0.5,0.5333333333333333
lsb,pre_secret_vs_secret,pre_secret,secret,00199.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.5333333333333333
lsb,pre_secret_vs_secret,pre_secret,secret,00299.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
lsb,pre_secret_vs_secret,pre_secret,secret,00399.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.075,0.075,0.3,0.3,0.25,0.25,0.5,0.5
lsb,pre_secret_vs_secret,pre_secret,secret,00499.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
lsb,pre_secret_vs_secret,pre_secret,secret,00599.png,,,,,,,,,0.0,0.0,0.0,0.06666666666666665,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5666666666666667
lsb,pre_secret_vs_secret,pre_secret,secret,00699.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.1,0.1,0.4,0.4,0.25,0.25,0.5,0.5
lsb,pre_secret_vs_secret,pre_secret,secret,00799.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.5333333333333333
lsb,pre_secret_vs_secret,pre_secret,secret,00899.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.025,0.025,0.1,0.1,0.0,0.0,0.5,0.5
lsb,pre_secret_vs_secret,pre_secret,secret,00999.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.175,0.175,0.5,0.5,0.25,0.25,0.5,0.5
lsb,pre_secret_vs_secret,pre_secret,secret,01099.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.025,0.025,0.1,0.1,0.25,0.25,0.5,0.5
lsb,pre_secret_vs_secret,pre_secret,secret,01199.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
lsb,pre_secret_vs_secret,pre_secret,secret,01299.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.05,0.05,0.2,0.2,0.25,0.25,0.5,0.5
lsb,pre_secret_vs_secret,pre_secret,secret,01399.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.05,0.05,0.2,0.2,0.25,0.25,0.5,0.5
lsb,pre_secret_vs_secret,pre_secret,secret,01499.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.05,0.05,0.2,0.2,0.25,0.25,0.5,0.5
original,cover_vs_stego,cover,stego,00099.png,0.0,0.5,0.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.25,,,,,,,,
original,cover_vs_stego,cover,stego,00199.png,0.1,0.22499999999999998,0.4,0.7,0.25,0.25,0.5,0.5,0.12499999999999997,0.29999999999999993,0.0,0.0,0.5,0.062499999999999986,,,,,,,,
original,cover_vs_stego,cover,stego,00299.png,0.0,0.125,0.0,0.3,0.0,0.0,0.5,0.5,0.125,0.3,0.0,0.0,0.5,0.0625,,,,,,,,
original,cover_vs_stego,cover,stego,00399.png,0.0,0.07500000000000001,0.0,0.2,0.0,0.25,0.5,0.5,0.07500000000000001,0.2,0.25,0.0,0.5,0.037500000000000006,,,,,,,,
original,cover_vs_stego,cover,stego,00499.png,0.0,0.55,0.0,1.0,0.0,0.75,0.5,0.5,0.55,1.0,0.75,0.0,0.5,0.275,,,,,,,,
original,cover_vs_stego,cover,stego,00599.png,0.0,0.3,0.0,0.7,0.0,0.5,0.5,0.5666666666666668,0.3,0.7,0.5,0.06666666666666676,0.5333333333333334,0.16000000000000003,,,,,,,,
original,cover_vs_stego,cover,stego,00699.png,0.0,0.5,0.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.25,,,,,,,,
