epoch,cover_loss,cover_psnr,loss,lr,noise_prob,payload_len,psnr_dct,psnr_dwt,psnr_none,psnr_spread_spectrum,psnr_statistical,secret_loss,secret_ssim,ssim_dct,ssim_dwt,ssim_none,ssim_spread_spectrum,ssim_statistical,val_cover_loss,val_cover_psnr,val_loss,val_noise_prob,val_payload_len,val_psnr_dct,val_psnr_dwt,val_psnr_none,val_psnr_spread_spectrum,val_psnr_statistical,val_secret_loss,val_secret_ssim,val_ssim_dct,val_ssim_dwt,val_ssim_none,val_ssim_spread_spectrum,val_ssim_statistical
0,0.030333353206515312,16.385610580444336,0.24287308752536774,0.0009998914320021868,0.0,0.0,0.0,0.0,16.385610580444336,0.0,0.0,0.049927059561014175,0.377407431602478,0.0,0.0,0.377407431602478,0.0,0.0,0.01575545221567154,18.81514549255371,0.221105694770813,0.0,0.0,0.0,0.0,18.81514549255371,0.0,0.0,0.05781944468617439,0.27924880385398865,0.0,0.0,0.27924880385398865,0.0,0.0
1,0.011090194806456566,20.393495559692383,0.09253872185945511,0.0009995659347623587,0.0,0.0,0.0,0.0,20.393495559692383,0.0,0.0,0.01968846470117569,0.579555332660675,0.0,0.0,0.579555332660675,0.0,0.0,0.006757751572877169,22.31568717956543,0.1923108696937561,0.0,0.0,0.0,0.0,22.31568717956543,0.0,0.0,0.05732276663184166,0.3598342835903168,0.0,0.0,0.3598342835903168,0.0,0.0
2,0.005551260896027088,23.291820526123047,0.0666392520070076,0.0009990233229473233,0.0,0.0,0.0,0.0,23.291820526123047,0.0,0.0,0.01664603315293789,0.6664827466011047,0.0,0.0,0.6664827466011047,0.0,0.0,0.004609397146850824,24.040990829467773,0.15983662009239197,0.0,0.0,0.0,0.0,24.040990829467773,0.0,0.0,0.04865876957774162,0.44003501534461975,0.0,0.0,0.44003501534461975,0.0,0.0
3,0.004176739603281021,24.625106811523438,0.055501509457826614,0.0009982639458030462,0.0,0.0,0.0,0.0,24.625106811523438,0.0,0.0,0.014314941130578518,0.7323668003082275,0.0,0.0,0.7323668003082275,0.0,0.0,0.004451329354196787,24.13629913330078,0.1102721095085144,0.0,0.0,0.0,0.0,24.13629913330078,0.0,0.0,0.03229610249400139,0.6230493187904358,0.0,0.0,0.6230493187904358,0.0,0.0
4,0.003709800075739622,25.21735382080078,0.048944197595119476,0.0009972883854061365,0.0,0.0,0.0,0.0,25.21735382080078,0.0,0.0,0.012598015367984772,0.7870864272117615,0.0,0.0,0.7870864272117615,0.0,0.0,0.00394330732524395,24.75407600402832,0.08517564088106155,0.0,0.0,0.0,0.0,24.75407600402832,0.0,0.0,0.024440793320536613,0.7186855673789978,0.0,0.0,0.7186855673789978,0.0,0.0
5,0.0037942146882414818,25.20614242553711,0.04794783517718315,0.0009960968745872378,0.0,0.0,0.0,0.0,25.20614242553711,0.0,0.0,0.012181004509329796,0.8086838722229004,0.0,0.0,0.8086838722229004,0.0,0.0,0.004160576965659857,24.593244552612305,0.06795759499073029,0.0,0.0,0.0,0.0,24.593244552612305,0.0,0.0,0.01848326250910759,0.7732944488525391,0.0,0.0,0.7732944488525391,0.0,0.0
6,0.0034894468262791634,25.621307373046875,0.04396463930606842,0.0009946898790076375,0.0,0.0,0.0,0.0,25.621307373046875,0.0,0.0,0.011159314773976803,0.8287133574485779,0.0,0.0,0.8287133574485779,0.0,0.0,0.0036279531195759773,25.203310012817383,0.0617385096848011,0.0,0.0,0.0,0.0,25.203310012817383,0.0,0.0,0.01694495603442192,0.809006929397583,0.0,0.0,0.809006929397583,0.0,0.0
7,0.0033681481145322323,25.778705596923828,0.0422821082174778,0.0009930680971592665,0.0,0.0,0.0,0.0,25.778705596923828,0.0,0.0,0.010720202699303627,0.8420618772506714,0.0,0.0,0.8420618772506714,0.0,0.0,0.00359757780097425,25.403928756713867,0.08944537490606308,0.0,0.0,0.0,0.0,25.403928756713867,0.0,0.0,0.02621106617152691,0.7442066669464111,0.0,0.0,0.7442066669464111,0.0,0.0
8,0.003155431477352977,26.100078582763672,0.03981346637010574,0.0009912322275340557,0.0,0.0,0.0,0.0,26.100078582763672,0.0,0.0,0.010110754519701004,0.8525770306587219,0.0,0.0,0.8525770306587219,0.0,0.0,0.0032477714121341705,25.836946487426758,0.07194773852825165,0.0,0.0,0.0,0.0,25.836946487426758,0.0,0.0,0.020729534327983856,0.782769501209259,0.0,0.0,0.782769501209259,0.0,0.0
9,0.0030615662690252066,26.228574752807617,0.035633645951747894,0.000989183085039258,0.0,0.0,0.0,0.0,26.228574752807617,0.0,0.0,0.008811626583337784,0.841607391834259,0.0,0.0,0.841607391834259,0.0,0.0,0.0029414251912385225,26.353721618652344,0.06148576736450195,0.0,0.0,0.0,0.0,26.353721618652344,0.0,0.0,0.01754952035844326,0.7587383389472961,0.0,0.0,0.7587383389472961,0.0,0.0
10,0.003078663256019354,26.170578002929688,0.02711321972310543,0.000986921600997448,0.0,0.0,0.0,0.0,26.170578002929688,0.0,0.0,0.005954351741820574,0.8398579359054565,0.0,0.0,0.8398579359054565,0.0,0.0,0.00302893971092999,26.179153442382812,0.03483819589018822,0.0,0.0,0.0,0.0,26.179153442382812,0.0,0.0,0.008579217828810215,0.8299831748008728,0.0,0.0,0.8299831748008728,0.0,0.0
11,0.002931544091552496,26.448204040527344,0.024039672687649727,0.0009844487067312002,0.0,0.0,0.0,0.0,26.448204040527344,0.0,0.0,0.005077386740595102,0.8571650981903076,0.0,0.0,0.8571650981903076,0.0,0.0,0.0031961502972990274,25.844606399536133,0.035913627594709396,0.0,0.0,0.0,0.0,25.844606399536133,0.0,0.0,0.008769959211349487,0.8414406776428223,0.0,0.0,0.8414406776428223,0.0,0.0
