epoch,cover_loss,cover_psnr,loss,lr,noise_prob,payload_len,psnr_dct,psnr_dwt,psnr_none,psnr_spread_spectrum,psnr_statistical,secret_loss,secret_ssim,ssim_dct,ssim_dwt,ssim_none,ssim_spread_spectrum,ssim_statistical,val_cover_loss,val_cover_psnr,val_loss,val_noise_prob,val_payload_len,val_psnr_dct,val_psnr_dwt,val_psnr_none,val_psnr_spread_spectrum,val_psnr_statistical,val_secret_loss,val_secret_ssim,val_ssim_dct,val_ssim_dwt,val_ssim_none,val_ssim_spread_spectrum,val_ssim_statistical
0,0.030714647844433784,16.297622680664062,0.24611252546310425,0.0009997556917369366,0.0,0.0,0.0,0.0,16.297622680664062,0.0,0.0,0.05061279237270355,0.3712244927883148,0.0,0.0,0.3712244927883148,0.0,0.0,0.015307200141251087,18.933454513549805,0.2525768280029297,0.0,0.0,0.0,0.0,18.933454513549805,0.0,0.0,0.06876523792743683,0.2554449141025543,0.0,0.0,0.2554449141025543,0.0,0.0
1,0.011273765005171299,20.28677749633789,0.09630411118268967,0.0009990233229473233,0.0,0.0,0.0,0.0,20.28677749633789,0.0,0.0,0.02075863443315029,0.5586274266242981,0.0,0.0,0.5586274266242981,0.0,0.0,0.007026590872555971,22.141965866088867,0.2222720980644226,0.0,0.0,0.0,0.0,22.141965866088867,0.0,0.0,0.0670391246676445,0.3308145999908447,0.0,0.0,0.3308145999908447,0.0,0.0
2,0.006028545554727316,22.991392135620117,0.0698574110865593,0.0009978031739592552,0.0,0.0,0.0,0.0,22.991392135620117,0.0,0.0,0.01723865419626236,0.6493596434593201,0.0,0.0,0.6493596434593201,0.0,0.0,0.004807204939424992,23.988496780395508,0.20161080360412598,0.0,0.0,0.0,0.0,23.988496780395508,0.0,0.0,0.06238475441932678,0.3840543031692505,0.0,0.0,0.3840543031692505,0.0,0.0
3,0.004357425961643457,24.485393524169922,0.057118020951747894,0.0009960968745872378,0.0,0.0,0.0,0.0,24.485393524169922,0.0,0.0,0.014672324992716312,0.7189866304397583,0.0,0.0,0.7189866304397583,0.0,0.0,0.004311305936425924,24.347536087036133,0.1293710619211197,0.0,0.0,0.0,0.0,24.347536087036133,0.0,0.0,0.038803037256002426,0.5714730620384216,0.0,0.0,0.5714730620384216,0.0,0.0
4,0.0038264726754277945,25.06610870361328,0.05066382512450218,0.000993905821815133,0.0,0.0,0.0,0.0,25.06610870361328,0.0,0.0,0.013054140843451023,0.7712476253509521,0.0,0.0,0.7712476253509521,0.0,0.0,0.003982915077358484,24.76024055480957,0.08478554338216782,0.0,0.0,0.0,0.0,24.76024055480957,0.0,0.0,0.02427097223699093,0.7014263272285461,0.0,0.0,0.7014263272285461,0.0,0.0
5,0.0034930999390780926,25.524906158447266,0.0459698885679245,0.0009912322275340557,0.0,0.0,0.0,0.0,25.524906158447266,0.0,0.0,0.01182408444583416,0.8049858808517456,0.0,0.0,0.8049858808517456,0.0,0.0,0.003324523800984025,25.7222843170166,0.07504880428314209,0.0,0.0,0.0,0.0,25.7222843170166,0.0,0.0,0.021686218678951263,0.7399213910102844,0.0,0.0,0.7399213910102844,0.0,0.0
6,0.0034092890564352274,25.61627769470215,0.041060760617256165,0.0009880787692964077,0.0,0.0,0.0,0.0,25.61627769470215,0.0,0.0,0.010271820239722729,0.8038420081138611,0.0,0.0,0.8038420081138611,0.0,0.0,0.0037680643144994974,25.040306091308594,0.07570374757051468,0.0,0.0,0.0,0.0,25.040306091308594,0.0,0.0,0.021459421142935753,0.6825360655784607,0.0,0.0,0.6825360655784607,0.0,0.0
7,0.0034023928456008434,25.608013153076172,0.03154252469539642,0.0009844487067312002,0.0,0.0,0.0,0.0,25.608013153076172,0.0,0.0,0.007105995900928974,0.8067247271537781,0.0,0.0,0.8067247271537781,0.0,0.0,0.0034425631165504456,25.501907348632812,0.044810518622398376,0.0,0.0,0.0,0.0,25.501907348632812,0.0,0.0,0.011488351970911026,0.7868074774742126,0.0,0.0,0.7868074774742126,0.0,0.0
8,0.003238331526517868,25.871191024780273,0.027714408934116364,0.000980345532298088,0.0,0.0,0.0,0.0,25.871191024780273,0.0,0.0,0.005994564387947321,0.8296169638633728,0.0,0.0,0.8296169638633728,0.0,0.0,0.003346596844494343,25.618520736694336,0.039236269891262054,0.0,0.0,0.0,0.0,25.618520736694336,0.0,0.0,0.009726563468575478,0.8158404231071472,0.0,0.0,0.8158404231071472,0.0,0.0
9,0.003091780235990882,26.112337112426758,0.02522079087793827,0.0009757730294950306,0.0,0.0,0.0,0.0,26.112337112426758,0.0,0.0,0.00531039061024785,0.8483163118362427,0.0,0.0,0.8483163118362427,0.0,0.0,0.0035250892397016287,25.247060775756836,0.08666080236434937,1.0,6.736700057983398,25.21633529663086,25.549455642700195,0.0,24.74873161315918,25.552743911743164,0.025355614721775055,0.681282103061676,0.8113505244255066,0.7792729139328003,0.0,0.4971555769443512,0.6449363231658936
