image_index,method,total_loss,psnr_c,ssim_c,psnr_s,ssim_s,ber_img,ber_text,text_acc
0,original,0.12736167013645172,34.08599853515625,0.9615137577056885,18.990436553955078,0.7309085726737976,0.4208272298177083,1.0,0.0
0,lsb,0.11955428123474121,34.08244323730469,0.9615123271942139,19.264366149902344,0.7305242419242859,0.4200642903645833,1.0,0.0
0,dct,0.012029538862407207,33.49107360839844,0.9388911128044128,29.36420440673828,0.970930814743042,0.329254150390625,0.0,1.0
0,dwt,0.010820677503943443,33.43302536010742,0.9352264404296875,29.845260620117188,0.9696493744850159,0.3343912760416667,0.0,1.0
0,spread_spectrum,0.19111734628677368,31.065961837768555,0.8283300399780273,17.246061325073242,0.8053341507911682,0.4118448893229167,0.0,1.0
0,statistical,0.006491496693342924,33.17926788330078,0.9281322360038757,32.21110153198242,0.9392316341400146,0.3230794270833333,0.0,1.0
1,original,0.026045558974146843,28.083925247192383,0.9643486142158508,26.115245819091797,0.9182186126708984,0.3466796875,1.0,0.0
1,lsb,0.025942668318748474,28.084327697753906,0.9643546938896179,26.133520126342773,0.9184155464172363,0.3461507161458333,1.0,0.0
1,dct,0.017886335030198097,28.10904312133789,0.9639625549316406,27.87081527709961,0.9619616866111755,0.3355712890625,1.0,0.0
1,dwt,0.016388701274991035,28.042057037353516,0.9636057019233704,28.29506492614746,0.963545560836792,0.331817626953125,1.0,0.0
1,spread_spectrum,0.1860315352678299,27.032194137573242,0.9461438655853271,17.390535354614258,0.8267735838890076,0.400634765625,0.0,1.0
1,statistical,0.013731183484196663,27.89867401123047,0.9620116353034973,29.171499252319336,0.9661946296691895,0.32220458984375,0.0,1.0
2,original,0.022274183109402657,31.420581817626953,0.9334977269172668,26.669357299804688,0.9357401728630066,0.3566996256510417,1.0,0.0
2,lsb,0.022165467962622643,31.420490264892578,0.9334951043128967,26.691308975219727,0.9356901049613953,0.356475830078125,1.0,0.0
2,dct,0.015406407415866852,31.153377532958984,0.9166228175163269,28.347585678100586,0.9734641909599304,0.34564208984375,0.0,1.0
2,dwt,0.014480809681117535,31.18290138244629,0.9185158610343933,28.62932014465332,0.9731120467185974,0.3398946126302083,0.0,1.0
2,spread_spectrum,0.21455508470535278,29.18645668029785,0.7983002662658691,16.755325317382812,0.8181859850883484,0.4171142578125,0.0,1.0
2,statistical,0.011274714954197407,30.910770416259766,0.9027593731880188,29.804899215698242,0.9716560244560242,0.325653076171875,0.0,1.0
3,original,0.03976122662425041,22.13266372680664,0.7944703102111816,24.740806579589844,0.9169943332672119,0.383209228515625,1.0,0.0
3,lsb,0.03977145627140999,22.132633209228516,0.7944733500480652,24.73948860168457,0.9170055389404297,0.3829243977864583,1.0,0.0
3,dct,0.029596544802188873,22.08945083618164,0.7818148136138916,26.31337547302246,0.9642431139945984,0.364471435546875,0.0,1.0
3,dwt,0.029524492099881172,22.100576400756836,0.7820578217506409,26.323801040649414,0.9603772163391113,0.3642374674479167,0.0,1.0
3,spread_spectrum,0.27386870980262756,21.76956558227539,0.6811423897743225,15.7896146774292,0.8001663684844971,0.431243896484375,0.0,1.0
3,statistical,0.028009561821818352,22.069265365600586,0.7698140144348145,26.623830795288086,0.9507777094841003,0.3572998046875,0.0,1.0
4,original,0.02125905454158783,33.86246109008789,0.9730339050292969,26.81353759765625,0.9273171424865723,0.3449808756510417,1.0,0.0
4,lsb,0.021437646821141243,33.862239837646484,0.9730234742164612,26.776630401611328,0.9272775053977966,0.345855712890625,1.0,0.0
4,dct,0.016519566997885704,33.52825164794922,0.965976893901825,27.94148063659668,0.9589666724205017,0.3369852701822917,1.0,0.0
4,dwt,0.014579842798411846,33.512752532958984,0.9665159583091736,28.499826431274414,0.9602775573730469,0.3328755696614583,1.0,0.0
4,spread_spectrum,0.2026074081659317,31.193254470825195,0.9170455932617188,16.993497848510742,0.8162350058555603,0.4084065755208333,0.0,1.0
4,statistical,0.011428381316363811,33.17544937133789,0.9609670639038086,29.608917236328125,0.9640936255455017,0.3218892415364583,0.0,1.0
